county_id,state,county_name,county_state,broadband_avail,broadband_use
4001,AZ,Apache,Apache_AZ,0.2304,0.074
4003,AZ,Cochise,Cochise_AZ,0.7636,0.565
4005,AZ,Coconino,Coconino_AZ,0.6975,0.407
4007,AZ,Gila,Gila_AZ,0.7391,0.463
4009,AZ,Graham,Graham_AZ,0.7606,0.535
4011,AZ,Greenlee,Greenlee_AZ,0.5281,0.253
4012,AZ,La Paz,La Paz_AZ,0.4485,0.344
4013,AZ,Maricopa,Maricopa_AZ,0.9933,0.774
4015,AZ,Mohave,Mohave_AZ,0.761,0.636
4017,AZ,Navajo,Navajo_AZ,0.5934,0.381
4019,AZ,Pima,Pima_AZ,0.9857,0.626
4021,AZ,Pinal,Pinal_AZ,0.9418,0.435
4023,AZ,Santa Cruz,Santa Cruz_AZ,0.9713,0.231
4025,AZ,Yavapai,Yavapai_AZ,0.9278,0.546
4027,AZ,Yuma,Yuma_AZ,0.8967,0.605
5001,AR,Arkansas,Arkansas_AR,0.2579,0.15
5003,AR,Ashley,Ashley_AR,0.5229,0.088
5005,AR,Baxter,Baxter_AR,0.7732,0.549
5007,AR,Benton,Benton_AR,0.9664,0.589
5009,AR,Boone,Boone_AR,0.9064,0.441
5011,AR,Bradley,Bradley_AR,0.6446,0.101
5013,AR,Calhoun,Calhoun_AR,0.0852,0.202
5015,AR,Carroll,Carroll_AR,0.9757,0.268
5017,AR,Chicot,Chicot_AR,0.7473,0.024
5019,AR,Clark,Clark_AR,0.8211,0.307
5021,AR,Clay,Clay_AR,0.5947,0.164
5023,AR,Cleburne,Cleburne_AR,0.5629,0.244
5025,AR,Cleveland,Cleveland_AR,0.8391,0.015
5027,AR,Columbia,Columbia_AR,0.6132,0.238
5029,AR,Conway,Conway_AR,0.4728,0.127
5031,AR,Craighead,Craighead_AR,0.8323,0.66
5033,AR,Crawford,Crawford_AR,0.8727,0.394
5035,AR,Crittenden,Crittenden_AR,0.7987,0.411
5037,AR,Cross,Cross_AR,0.5909,0.173
5039,AR,Dallas,Dallas_AR,0.574,0.059
5041,AR,Desha,Desha_AR,0.704,0.187
5043,AR,Drew,Drew_AR,0.7014,0.208
5045,AR,Faulkner,Faulkner_AR,0.9507,0.375
5047,AR,Franklin,Franklin_AR,0.2485,0.069
5049,AR,Fulton,Fulton_AR,0.4479,0.161
5051,AR,Garland,Garland_AR,0.9697,0.434
5053,AR,Grant,Grant_AR,0.6828,0.246
5055,AR,Greene,Greene_AR,0.7666,0.503
5057,AR,Hempstead,Hempstead_AR,0.6645,0.216
5059,AR,Hot Spring,Hot Spring_AR,0.5942,0.32
5061,AR,Howard,Howard_AR,0.2263,0.068
5063,AR,Independence,Independence_AR,0.7302,0.511
5065,AR,Izard,Izard_AR,0.6047,0.265
5067,AR,Jackson,Jackson_AR,0.684,0.327
5069,AR,Jefferson,Jefferson_AR,0.6604,0.192
5071,AR,Johnson,Johnson_AR,0.6213,0.145
5073,AR,Lafayette,Lafayette_AR,0.1662,0.021
5075,AR,Lawrence,Lawrence_AR,0.5794,0.133
5077,AR,Lee,Lee_AR,0.3209,0.061
5079,AR,Lincoln,Lincoln_AR,0.3037,0.026
5081,AR,Little River,Little River_AR,0.5075,0.087
5083,AR,Logan,Logan_AR,0.3562,0.058
5085,AR,Lonoke,Lonoke_AR,0.8615,0.462
5087,AR,Madison,Madison_AR,0.4542,0.159
5089,AR,Marion,Marion_AR,0.6079,0.213
5091,AR,Miller,Miller_AR,0.9345,0.348
5093,AR,Mississippi,Mississippi_AR,0.9265,0.242
5095,AR,Monroe,Monroe_AR,0.0557,0.058
5097,AR,Montgomery,Montgomery_AR,0.5286,0.093
5099,AR,Nevada,Nevada_AR,0.4291,0.036
5101,AR,Newton,Newton_AR,0.1523,0.083
5103,AR,Ouachita,Ouachita_AR,0.6313,0.217
5105,AR,Perry,Perry_AR,0.7692,0.316
5107,AR,Phillips,Phillips_AR,0.7458,0.188
5109,AR,Pike,Pike_AR,0.5312,0.11
5111,AR,Poinsett,Poinsett_AR,0.7911,0.168
5113,AR,Polk,Polk_AR,0.6295,0.125
5115,AR,Pope,Pope_AR,0.7953,0.484
5117,AR,Prairie,Prairie_AR,0.1371,0.057
5119,AR,Pulaski,Pulaski_AR,0.9833,0.55
5121,AR,Randolph,Randolph_AR,0.5715,0.141
5123,AR,St. Francis,St. Francis_AR,0.3788,0.11
5125,AR,Saline,Saline_AR,0.916,0.409
5127,AR,Scott,Scott_AR,0.3729,0.041
5129,AR,Searcy,Searcy_AR,0.5523,0.076
5131,AR,Sebastian,Sebastian_AR,0.9589,0.517
5133,AR,Sevier,Sevier_AR,0.7977,0.084
5135,AR,Sharp,Sharp_AR,0.4534,0.214
5137,AR,Stone,Stone_AR,0.415,0.11
5139,AR,Union,Union_AR,0.68,0.358
5141,AR,Van Buren,Van Buren_AR,0.4466,0.079
5143,AR,Washington,Washington_AR,0.9637,0.559
5145,AR,White,White_AR,0.7168,0.238
5147,AR,Woodruff,Woodruff_AR,0.2733,0.033
5149,AR,Yell,Yell_AR,0.8641,0.302
6001,CA,Alameda,Alameda_CA,0.9993,0.731
6003,CA,Alpine,Alpine_CA,0.1825,0.077
6005,CA,Amador,Amador_CA,0.9759,0.352
6007,CA,Butte,Butte_CA,0.9865,0.636
6009,CA,Calaveras,Calaveras_CA,0.9634,0.442
6011,CA,Colusa,Colusa_CA,0.8357,0.119
6013,CA,Contra Costa,Contra Costa_CA,0.9924,0.773
6015,CA,Del Norte,Del Norte_CA,0.9359,0.799
6017,CA,El Dorado,El Dorado_CA,0.9834,0.549
6019,CA,Fresno,Fresno_CA,0.9964,0.522
6021,CA,Glenn,Glenn_CA,0.9681,0.165
6023,CA,Humboldt,Humboldt_CA,0.9473,0.563
6025,CA,Imperial,Imperial_CA,0.8569,0.644
6027,CA,Inyo,Inyo_CA,0.8984,0.435
6029,CA,Kern,Kern_CA,0.9618,0.537
6031,CA,Kings,Kings_CA,0.9986,0.455
6033,CA,Lake,Lake_CA,0.934,0.351
6035,CA,Lassen,Lassen_CA,0.9136,0.207
6037,CA,Los Angeles,Los Angeles_CA,0.9955,0.734
6039,CA,Madera,Madera_CA,0.997,0.36
6041,CA,Marin,Marin_CA,0.9831,0.619
6043,CA,Mariposa,Mariposa_CA,0.8265,0.102
6045,CA,Mendocino,Mendocino_CA,0.8964,0.394
6047,CA,Merced,Merced_CA,0.9996,0.474
6049,CA,Modoc,Modoc_CA,0.4529,0.089
6051,CA,Mono,Mono_CA,0.8383,0.658
6053,CA,Monterey,Monterey_CA,0.9894,0.575
6055,CA,Napa,Napa_CA,0.9891,0.637
6057,CA,Nevada,Nevada_CA,0.9671,0.419
6059,CA,Orange,Orange_CA,0.9862,0.854
6061,CA,Placer,Placer_CA,0.9864,0.718
6063,CA,Plumas,Plumas_CA,0.9618,0.179
6065,CA,Riverside,Riverside_CA,0.9751,0.793
6067,CA,Sacramento,Sacramento_CA,0.982,0.777
6069,CA,San Benito,San Benito_CA,0.9882,0.643
6071,CA,San Bernardino,San Bernardino_CA,0.9688,0.771
6073,CA,San Diego,San Diego_CA,0.9807,0.761
6075,CA,San Francisco,San Francisco_CA,1,0.58
6077,CA,San Joaquin,San Joaquin_CA,0.9992,0.648
6079,CA,San Luis Obispo,San Luis Obispo_CA,0.9519,0.658
6081,CA,San Mateo,San Mateo_CA,1,0.772
6083,CA,Santa Barbara,Santa Barbara_CA,0.942,0.647
6085,CA,Santa Clara,Santa Clara_CA,1,0.849
6087,CA,Santa Cruz,Santa Cruz_CA,1,0.615
6089,CA,Shasta,Shasta_CA,0.9361,0.602
6091,CA,Sierra,Sierra_CA,0.6599,0.077
6093,CA,Siskiyou,Siskiyou_CA,0.8612,0.222
6095,CA,Solano,Solano_CA,0.9488,0.771
6097,CA,Sonoma,Sonoma_CA,0.9679,0.687
6099,CA,Stanislaus,Stanislaus_CA,1,0.58
6101,CA,Sutter,Sutter_CA,0.9932,0.755
6103,CA,Tehama,Tehama_CA,0.9803,0.192
6105,CA,Trinity,Trinity_CA,0.2484,0.168
6107,CA,Tulare,Tulare_CA,0.9948,0.462
6109,CA,Tuolumne,Tuolumne_CA,0.9936,0.443
6111,CA,Ventura,Ventura_CA,0.9857,0.827
6113,CA,Yolo,Yolo_CA,0.9406,0.665
6115,CA,Yuba,Yuba_CA,0.9953,0.551
8001,CO,Adams,Adams_CO,0.9932,0.911
8003,CO,Alamosa,Alamosa_CO,0.9974,0.459
8005,CO,Arapahoe,Arapahoe_CO,0.998,0.777
8007,CO,Archuleta,Archuleta_CO,0.878,0.688
8009,CO,Baca,Baca_CO,0.3432,0.271
8011,CO,Bent,Bent_CO,0.38,0.357
8013,CO,Boulder,Boulder_CO,0.9754,0.803
8014,CO,Broomfield,Broomfield_CO,0.9837,0.976
8015,CO,Chaffee,Chaffee_CO,0.888,0.437
8017,CO,Cheyenne,Cheyenne_CO,0.5483,0.139
8019,CO,Clear Creek,Clear Creek_CO,0.901,0.191
8021,CO,Conejos,Conejos_CO,0.9985,0.081
8023,CO,Costilla,Costilla_CO,0.9552,0.325
8025,CO,Crowley,Crowley_CO,0.425,0.103
8027,CO,Custer,Custer_CO,0.5152,0.039
8029,CO,Delta,Delta_CO,0.9949,0.559
8031,CO,Denver,Denver_CO,1,0.782
8033,CO,Dolores,Dolores_CO,0.291,0.125
8035,CO,Douglas,Douglas_CO,1,0.81
8037,CO,Eagle,Eagle_CO,0.9305,0.671
8039,CO,Elbert,Elbert_CO,1,0.275
8041,CO,El Paso,El Paso_CO,0.981,0.833
8043,CO,Fremont,Fremont_CO,0.8528,0.657
8045,CO,Garfield,Garfield_CO,0.9971,0.51
8047,CO,Gilpin,Gilpin_CO,0.8768,0.436
8049,CO,Grand,Grand_CO,0.8474,0.482
8051,CO,Gunnison,Gunnison_CO,0.9058,0.522
8053,CO,Hinsdale,Hinsdale_CO,0.8341,0.106
8055,CO,Huerfano,Huerfano_CO,0.7149,0.178
8057,CO,Jackson,Jackson_CO,0.8556,0.102
8059,CO,Jefferson,Jefferson_CO,0.9955,0.67
8061,CO,Kiowa,Kiowa_CO,0.5512,0.04
8063,CO,Kit Carson,Kit Carson_CO,0.9779,0.21
8065,CO,Lake,Lake_CO,0.9204,0.368
8067,CO,La Plata,La Plata_CO,0.9798,0.409
8069,CO,Larimer,Larimer_CO,0.9387,0.689
8071,CO,Las Animas,Las Animas_CO,0.7158,0.494
8073,CO,Lincoln,Lincoln_CO,0.552,0.326
8075,CO,Logan,Logan_CO,0.9275,0.528
8077,CO,Mesa,Mesa_CO,0.9662,0.625
8079,CO,Mineral,Mineral_CO,0.8921,0.551
8081,CO,Moffat,Moffat_CO,0.9484,0.618
8083,CO,Montezuma,Montezuma_CO,0.8434,0.264
8085,CO,Montrose,Montrose_CO,0.9456,0.691
8087,CO,Morgan,Morgan_CO,0.8946,0.595
8089,CO,Otero,Otero_CO,0.8535,0.63
8091,CO,Ouray,Ouray_CO,0.9653,0.205
8093,CO,Park,Park_CO,0.9161,0.24
8095,CO,Phillips,Phillips_CO,1,0.548
8097,CO,Pitkin,Pitkin_CO,0.979,0.766
8099,CO,Prowers,Prowers_CO,0.7019,0.236
8101,CO,Pueblo,Pueblo_CO,0.9628,0.608
8103,CO,Rio Blanco,Rio Blanco_CO,0.7244,0.591
8105,CO,Rio Grande,Rio Grande_CO,0.9886,0.29
8107,CO,Routt,Routt_CO,0.9596,0.495
8109,CO,Saguache,Saguache_CO,0.8003,0.203
8111,CO,San Juan,San Juan_CO,0.6552,0.288
8113,CO,San Miguel,San Miguel_CO,0.7115,0.522
8115,CO,Sedgwick,Sedgwick_CO,0.8243,0.243
8117,CO,Summit,Summit_CO,0.8957,0.682
8119,CO,Teller,Teller_CO,0.8689,0.358
8121,CO,Washington,Washington_CO,0.8225,0.182
8123,CO,Weld,Weld_CO,0.9532,0.677
8125,CO,Yuma,Yuma_CO,0.9866,0.313
9001,CT,Fairfield,Fairfield_CT,0.9932,0.707
9003,CT,Hartford,Hartford_CT,0.9904,0.675
9005,CT,Litchfield,Litchfield_CT,0.9914,0.641
9007,CT,Middlesex,Middlesex_CT,0.994,0.631
9009,CT,New Haven,New Haven_CT,0.9977,0.661
9011,CT,New London,New London_CT,0.9881,0.71
9013,CT,Tolland,Tolland_CT,0.9735,0.736
9015,CT,Windham,Windham_CT,0.9962,0.586
10001,DE,Kent,Kent_DE,0.9626,0.733
10003,DE,New Castle,New Castle_DE,0.9796,0.788
10005,DE,Sussex,Sussex_DE,0.9861,0.658
11001,DC,District of Columbia,District of Columbia_DC,0.9796,0.658
12001,FL,Alachua,Alachua_FL,0.8639,0.574
12003,FL,Baker,Baker_FL,0.8448,0.391
12005,FL,Bay,Bay_FL,0.9393,0.694
12007,FL,Bradford,Bradford_FL,0.5327,0.273
12009,FL,Brevard,Brevard_FL,0.9951,0.776
12011,FL,Broward,Broward_FL,0.9815,0.802
12013,FL,Calhoun,Calhoun_FL,0.9407,0.104
12015,FL,Charlotte,Charlotte_FL,0.9728,0.679
12017,FL,Citrus,Citrus_FL,0.9404,0.627
12019,FL,Clay,Clay_FL,0.9307,0.782
12021,FL,Collier,Collier_FL,0.953,0.72
12023,FL,Columbia,Columbia_FL,0.8251,0.462
12027,FL,DeSoto,DeSoto_FL,1,0.105
12029,FL,Dixie,Dixie_FL,0.0078,0.041
12031,FL,Duval,Duval_FL,1,0.802
12033,FL,Escambia,Escambia_FL,0.9543,0.711
12035,FL,Flagler,Flagler_FL,0.9632,0.878
12037,FL,Franklin,Franklin_FL,0.8336,0.398
12039,FL,Gadsden,Gadsden_FL,0.9103,0.186
12041,FL,Gilchrist,Gilchrist_FL,0.2821,0.049
12043,FL,Glades,Glades_FL,0.6469,0.063
12045,FL,Gulf,Gulf_FL,0.9195,0.405
12047,FL,Hamilton,Hamilton_FL,0.7198,0.088
12049,FL,Hardee,Hardee_FL,1,0.109
12051,FL,Hendry,Hendry_FL,0.7638,0.334
12053,FL,Hernando,Hernando_FL,0.9777,0.772
12055,FL,Highlands,Highlands_FL,1,0.419
12057,FL,Hillsborough,Hillsborough_FL,0.997,0.782
12059,FL,Holmes,Holmes_FL,0.3422,0.095
12061,FL,Indian River,Indian River_FL,1,0.715
12063,FL,Jackson,Jackson_FL,0.5988,0.173
12065,FL,Jefferson,Jefferson_FL,0.3081,0.079
12067,FL,Lafayette,Lafayette_FL,0.6073,0.165
12069,FL,Lake,Lake_FL,0.9216,0.79
12071,FL,Lee,Lee_FL,0.9135,0.725
12073,FL,Leon,Leon_FL,0.9652,0.571
12075,FL,Levy,Levy_FL,0.1399,0.063
12077,FL,Liberty,Liberty_FL,0.6755,0.137
12079,FL,Madison,Madison_FL,0.5728,0.114
12081,FL,Manatee,Manatee_FL,0.9935,0.821
12083,FL,Marion,Marion_FL,0.9203,0.547
12085,FL,Martin,Martin_FL,0.9732,0.695
12086,FL,Miami-Dade,Miami-Dade_FL,0.9649,0.681
12087,FL,Monroe,Monroe_FL,0.9614,0.733
12089,FL,Nassau,Nassau_FL,0.9275,0.688
12091,FL,Okaloosa,Okaloosa_FL,0.9293,0.769
12093,FL,Okeechobee,Okeechobee_FL,1,0.381
12095,FL,Orange,Orange_FL,1,0.831
12097,FL,Osceola,Osceola_FL,1,0.906
12099,FL,Palm Beach,Palm Beach_FL,0.9694,0.718
12101,FL,Pasco,Pasco_FL,0.9859,0.773
12103,FL,Pinellas,Pinellas_FL,0.9993,0.71
12105,FL,Polk,Polk_FL,0.9537,0.674
12107,FL,Putnam,Putnam_FL,0.8297,0.341
12109,FL,St. Johns,St. Johns_FL,1,0.856
12111,FL,St. Lucie,St. Lucie_FL,0.9437,0.7
12113,FL,Santa Rosa,Santa Rosa_FL,0.8827,0.635
12115,FL,Sarasota,Sarasota_FL,0.9889,0.776
12117,FL,Seminole,Seminole_FL,1,0.735
12119,FL,Sumter,Sumter_FL,0.9317,0.565
12121,FL,Suwannee,Suwannee_FL,0.8819,0.207
12123,FL,Taylor,Taylor_FL,0.713,0.31
12125,FL,Union,Union_FL,0.7205,0.451
12127,FL,Volusia,Volusia_FL,1,0.689
12129,FL,Wakulla,Wakulla_FL,0.9233,0.387
12131,FL,Walton,Walton_FL,0.8154,0.627
12133,FL,Washington,Washington_FL,0.3113,0.129
13001,GA,Appling,Appling_GA,0.5103,0.19
13003,GA,Atkinson,Atkinson_GA,0.6438,0.11
13005,GA,Bacon,Bacon_GA,0.7784,0.496
13007,GA,Baker,Baker_GA,0.0329,0.022
13009,GA,Baldwin,Baldwin_GA,0.962,0.612
13011,GA,Banks,Banks_GA,0.8324,0.249
13013,GA,Barrow,Barrow_GA,0.9865,0.763
13015,GA,Bartow,Bartow_GA,0.9425,0.498
13017,GA,Ben Hill,Ben Hill_GA,0.9252,0.758
13019,GA,Berrien,Berrien_GA,0.8592,0.136
13021,GA,Bibb,Bibb_GA,0.9732,0.581
13023,GA,Bleckley,Bleckley_GA,0.5383,0.28
13025,GA,Brantley,Brantley_GA,0.9941,0.327
13027,GA,Brooks,Brooks_GA,0.8345,0.211
13029,GA,Bryan,Bryan_GA,0.9513,0.806
13031,GA,Bulloch,Bulloch_GA,1,0.575
13033,GA,Burke,Burke_GA,0.722,0.241
13035,GA,Butts,Butts_GA,0.7959,0.206
13037,GA,Calhoun,Calhoun_GA,0.2488,0.072
13039,GA,Camden,Camden_GA,0.9246,0.674
13043,GA,Candler,Candler_GA,1,0.875
13045,GA,Carroll,Carroll_GA,0.9271,0.447
13047,GA,Catoosa,Catoosa_GA,0.9899,0.485
13049,GA,Charlton,Charlton_GA,0.726,0.085
13051,GA,Chatham,Chatham_GA,0.9844,0.727
13053,GA,Chattahoochee,Chattahoochee_GA,0.5456,0.755
13055,GA,Chattooga,Chattooga_GA,0.9781,0.145
13057,GA,Cherokee,Cherokee_GA,0.974,0.841
13059,GA,Clarke,Clarke_GA,0.9942,0.639
13061,GA,Clay,Clay_GA,0.6524,0.067
13063,GA,Clayton,Clayton_GA,0.9824,0.877
13065,GA,Clinch,Clinch_GA,0.7067,0.113
13067,GA,Cobb,Cobb_GA,0.9796,0.778
13069,GA,Coffee,Coffee_GA,0.9187,0.481
13071,GA,Colquitt,Colquitt_GA,0.8958,0.538
13073,GA,Columbia,Columbia_GA,0.9832,0.853
13075,GA,Cook,Cook_GA,0.8466,0.16
13077,GA,Coweta,Coweta_GA,0.959,0.743
13079,GA,Crawford,Crawford_GA,0.9353,0.156
13081,GA,Crisp,Crisp_GA,0.8039,0.354
13083,GA,Dade,Dade_GA,0.9286,0.379
13085,GA,Dawson,Dawson_GA,0.9108,0.455
13087,GA,Decatur,Decatur_GA,0.6635,0.288
13089,GA,DeKalb,DeKalb_GA,0.9869,0.756
13091,GA,Dodge,Dodge_GA,0.6748,0.139
13093,GA,Dooly,Dooly_GA,0.5515,0.084
13095,GA,Dougherty,Dougherty_GA,0.9737,0.591
13097,GA,Douglas,Douglas_GA,0.9761,0.78
13099,GA,Early,Early_GA,0.5383,0.156
13101,GA,Echols,Echols_GA,0.0002,0.034
13103,GA,Effingham,Effingham_GA,0.9677,0.648
13105,GA,Elbert,Elbert_GA,0.8497,0.267
13107,GA,Emanuel,Emanuel_GA,0.9467,0.309
13109,GA,Evans,Evans_GA,0.8232,0.257
13111,GA,Fannin,Fannin_GA,0.9205,0.432
13113,GA,Fayette,Fayette_GA,0.9807,0.882
13115,GA,Floyd,Floyd_GA,0.9426,0.485
13117,GA,Forsyth,Forsyth_GA,0.9906,0.92
13119,GA,Franklin,Franklin_GA,0.8482,0.148
13121,GA,Fulton,Fulton_GA,0.9837,0.744
13123,GA,Gilmer,Gilmer_GA,0.8201,0.521
13125,GA,Glascock,Glascock_GA,0.0101,0.033
13127,GA,Glynn,Glynn_GA,0.9669,0.693
13129,GA,Gordon,Gordon_GA,0.9226,0.367
13131,GA,Grady,Grady_GA,0.839,0.264
13133,GA,Greene,Greene_GA,0.7104,0.561
13135,GA,Gwinnett,Gwinnett_GA,0.9903,0.935
13137,GA,Habersham,Habersham_GA,0.9594,0.574
13139,GA,Hall,Hall_GA,0.9786,0.567
13141,GA,Hancock,Hancock_GA,0.1275,0.1
13143,GA,Haralson,Haralson_GA,1,0.135
13145,GA,Harris,Harris_GA,0.8671,0.244
13147,GA,Hart,Hart_GA,0.9703,0.414
13149,GA,Heard,Heard_GA,0.5978,0.117
13151,GA,Henry,Henry_GA,0.9954,0.891
13153,GA,Houston,Houston_GA,0.9397,0.749
13155,GA,Irwin,Irwin_GA,0.6125,0.214
13157,GA,Jackson,Jackson_GA,0.9398,0.645
13159,GA,Jasper,Jasper_GA,0.6094,0.149
13161,GA,Jeff Davis,Jeff Davis_GA,0.6241,0.182
13163,GA,Jefferson,Jefferson_GA,0.0882,0.082
13165,GA,Jenkins,Jenkins_GA,0.8228,0.09
13167,GA,Johnson,Johnson_GA,0.3034,0.149
13169,GA,Jones,Jones_GA,0.8682,0.445
13171,GA,Lamar,Lamar_GA,0.726,0.118
13173,GA,Lanier,Lanier_GA,0.8538,0.13
13175,GA,Laurens,Laurens_GA,0.712,0.387
13177,GA,Lee,Lee_GA,0.8914,0.526
13179,GA,Liberty,Liberty_GA,0.9394,0.448
13181,GA,Lincoln,Lincoln_GA,0.9999,0.287
13183,GA,Long,Long_GA,0.8439,0.217
13185,GA,Lowndes,Lowndes_GA,0.8169,0.534
13187,GA,Lumpkin,Lumpkin_GA,0.8909,0.425
13189,GA,McDuffie,McDuffie_GA,0.8201,0.207
13191,GA,McIntosh,McIntosh_GA,0.97,0.359
13193,GA,Macon,Macon_GA,0.7509,0.279
13195,GA,Madison,Madison_GA,0.9165,0.153
13197,GA,Marion,Marion_GA,0.7152,0.069
13199,GA,Meriwether,Meriwether_GA,0.5331,0.281
13201,GA,Miller,Miller_GA,0.1072,0.187
13205,GA,Mitchell,Mitchell_GA,0.59,0.169
13207,GA,Monroe,Monroe_GA,0.5259,0.2
13209,GA,Montgomery,Montgomery_GA,0.501,0.119
13211,GA,Morgan,Morgan_GA,0.467,0.176
13213,GA,Murray,Murray_GA,0.9859,0.427
13215,GA,Muscogee,Muscogee_GA,0.9897,0.715
