,Tenure
9418,46.94705
6223,57.87341
7685,64.26648
2642,15.81095
8625,55.40614
2102,12.03582
9717,63.03261
7351,63.84542
7281,57.07901
639,4.065555679
148,11.73724209
4913,4.301967
1811,1.884992328
6441,67.28603
8453,66.23131
194,3.892407013
2377,9.933523
8740,51.60705
1361,4.089115347
6043,66.69757
4216,5.527407
1626,11.58448327
7682,42.34953
978,7.882710227
3535,5.886852
9762,71.34763
2348,17.4028
9510,63.05783
2101,6.363764
4244,3.984772
5385,60.70517
1369,21.63512984
1961,8.205103396
773,3.990895779
2939,7.129721
9429,67.99131
8066,60.49154
9713,63.18627
8834,71.59439
6291,68.60055
2811,11.56278
9652,63.42586
1329,9.339307484
9571,54.67286
474,9.493585403
8842,55.68741
4222,4.192662
5480,54.13164
3775,6.830372
8992,54.28874
6244,48.82198
3329,3.555031
3081,1.294635
4799,15.62643
4627,2.241794
3744,9.741749
9009,68.99606
8212,57.6786
6146,49.40477
552,20.44846104
880,5.803901847
8583,64.34133
5640,69.32327
2505,5.585004
9399,61.27483
5266,68.06938
7957,55.57772
568,16.58244758
9212,50.48733
4454,6.203352
6320,54.01597
9600,59.89979
3887,1.005104
7229,54.38925
1752,13.84769517
8697,55.92296
4426,7.007574
3658,2.353582
3444,1.776605
9398,62.2002
1014,11.42508906
7818,46.86241
5973,63.43072
7995,71.97382
5720,69.15481
8552,44.68507
2291,24.42176
4391,5.698156
6938,61.02337
3472,6.477458
8353,48.03223
5220,64.91343
3852,9.738632
9057,59.83107
4953,19.39483
1555,8.460086502
2902,21.25517
4142,24.94225
2067,9.061231
768,6.541066702
5927,65.06381
2644,1.200106
6596,57.62771
1292,2.447985699
2011,20.16124
4957,11.43916
5164,70.59531
5655,65.83916
3617,5.855481
9058,41.18372
5971,65.61605
1953,21.4708673
9158,62.6093
9246,50.79108
3000,7.916586
1343,4.861047755
917,3.679255472
5175,60.46007
5396,66.66268
4635,4.254025
1336,8.571860106
8951,65.38222
4732,10.15649
4526,1.692565
2586,3.771607
9507,48.31275
5229,56.99989
3669,7.896421
85,2.358129018
3319,4.026439
9665,61.41519
5032,71.7083
8898,67.89973
2038,6.204958
7184,47.95497
2095,30.1778
502,5.100566529
3359,1.034561
6622,65.62722
5646,65.21792
2623,30.82191
3873,9.621889
3200,7.542197
7492,53.07128
5866,55.3519
7520,61.6107
1840,5.755833887
4800,6.142753
1633,2.376509223
8483,37.04844
2870,3.612294
1469,2.934758008
2218,13.14986
7958,62.77522
5670,58.42233
5578,59.2505
1889,13.56958731
464,3.179043613
7950,69.18745
5773,59.1618
7733,61.12405
557,1.410971237
7863,68.01321
470,1.092219692
8560,64.02401
9610,64.05212
4905,2.553094
435,11.50651216
1642,5.070551439
2627,24.2732
5811,44.89823
7305,57.86878
4133,14.61014
6139,71.01166
1814,9.705809585
9035,65.90788
8272,55.15571
9301,64.54595
5068,58.75447
7135,54.07728
8735,71.12849
5055,69.87041
8660,56.21975
418,4.924623699
5835,64.12772
2298,9.487121
9327,64.01003
984,9.485268741
621,1.445148407
3740,16.55879
4400,10.35635
2823,3.852241
6787,37.73653
8268,69.56109
5890,46.55143
8462,65.05265
7074,61.51103
7875,70.39347
8950,61.17556
8257,61.4943
1448,13.24581884
7826,70.67499
7107,59.97805
8160,57.66137
3281,5.207616
4174,2.395742
3655,28.31146
3896,8.386574
872,2.704019894
6141,65.48954
6533,60.10344
4125,8.032262
5293,49.66569
5582,62.01927
327,1.407866545
6535,56.7448
8432,64.91577
287,11.38099891
7565,54.41265
6259,50.62647
7707,61.67106
3335,17.4113
7790,65.61344
1830,6.57513059
912,9.651065829
5790,70.17488
5033,64.01205
8358,59.49864
8519,62.8566
3398,8.741017
5458,55.26536
4136,5.325642
8126,61.60969
5404,68.83942
559,6.013261132
138,14.64011644
8800,68.68812
1687,7.367492072
2078,26.27061
4053,8.635904
7043,64.83209
6891,68.17457
8486,46.03183
4968,5.533306
4117,12.50526
6816,60.06677
7015,65.89807
7607,50.77358
6730,45.34514
1517,2.101748234
8749,62.60438
3656,8.161101
2911,3.583025
6969,65.36253
4864,12.70321
2357,2.225465
8910,59.78823
9728,71.15468
4076,7.269016
8927,59.29358
2372,14.59541
8704,62.90882
1865,15.18780416
9272,62.44603
4463,6.403708
8106,67.69161
1050,18.05033087
9637,51.84838
3403,6.612935
900,11.55987401
8045,62.08636
8513,43.02146
5575,64.41881
3595,6.38998
4792,9.553951
4774,4.043292
2480,16.04377
4833,15.06895
3638,3.613491
7401,63.60301
3974,26.14972
5542,71.08539
9624,59.1861
7376,47.02083
5997,58.42303
6435,66.12646
5495,63.42204
5557,63.05008
8875,58.56191
2242,1.366478
290,6.253919786
7044,41.63772
3736,14.7094
7369,67.87033
4424,1.970645
3126,4.606587
8991,44.47907
7852,65.64436
5384,55.75053
5118,42.36211
3884,3.590398
7183,48.80395
6472,67.73639
9907,44.54138
9840,67.69557
2566,7.437784
7984,70.28492
413,11.32083915
9278,63.90696
7558,62.23239
1041,1.415346194
8202,44.97817
2650,2.888303
6735,46.95877
8498,43.40615
6088,69.93388
7941,62.20392
8721,67.69816
1331,3.955928538
5700,70.62907
5775,65.70769
6292,65.2477
8510,54.65479
4623,13.55138
4775,3.309503
5457,39.01296
6593,71.60143
8355,51.41852
3885,12.5247
7307,59.6238
6696,58.85612
7540,56.74758
227,9.004964377
3112,12.55601
4741,9.651306
5204,63.74924
8439,64.76289
1705,16.37219797
2682,7.238006
6014,49.22913
5577,59.86174
3942,2.086344
2290,6.002744
2795,1.059865
9936,52.07771
1721,1.789830613
191,11.64983735
5415,66.04097
4709,2.323179
6122,40.35081
4656,8.747794
530,2.447649309
7972,62.71297
8958,56.18852
8514,49.8063
7532,53.48518
6158,68.96601
1460,9.38354759
6998,70.69523
9566,63.9229
291,18.9537053
3616,4.415788
4235,13.33556
4762,5.506063
9561,55.88547
1352,2.108441505
4318,14.40375
8649,55.88646
3895,4.72236
6285,45.28275
2531,14.39213
7897,62.33818
7946,70.84337
4256,23.81965
7559,52.07089
7613,68.78714
2044,2.051002
8820,62.78883
7871,50.97055
9763,55.07277
8436,55.75197
9466,55.87308
6692,56.1122
8954,69.30616
9186,56.54849
8201,56.78051
2655,16.7433
2369,7.400769
5933,52.66447
5035,71.106
1756,7.712199324
1685,5.705926395
7753,66.49211
2909,16.42222
2039,8.962444
8762,62.53352
3829,21.47001
9318,63.10868
8244,70.89738
5441,69.53443
8884,52.8369
5014,71.66705
6530,58.12363
5161,70.99222
2829,2.185047
4798,7.560138
3208,3.212519
840,19.76529476
4003,33.19612
5176,66.76084
2026,4.510318
3413,5.879094
4523,7.668017
667,2.216583602
2843,27.0293
1380,3.883156675
1922,12.52485764
6428,58.10315
34,3.471329958
9458,54.72683
3964,15.68627
4527,15.54856
3782,15.58596
3517,2.921217
6354,62.56252
1481,7.154371452
5048,65.4294
1216,10.08463748
3355,1.1426
7896,50.54849
6303,46.8684
1246,10.36025557
8642,58.65575
3098,10.59517
345,8.381515693
5031,67.11782
7060,68.21625
8065,52.15024
6453,68.17558
7287,65.93142
5432,71.93473
6484,70.2223
4025,14.91488
9415,70.90623
7386,53.90815
6931,62.94622
3840,10.33427
3501,6.081227
826,3.831221517
4365,7.539374
9243,70.55657
1855,16.86058234
9065,63.59084
7293,48.17117
3124,8.161424
9729,64.6373
7142,64.94284
309,4.030250374
5573,52.98075
5119,69.86769
1960,2.867284438
124,7.992791229
9648,40.46026
5560,43.29451
8656,63.57829
7031,51.38208
7408,54.84444
7763,66.80803
3753,7.646165
3013,9.539097
2815,4.99913
7181,48.25936
4128,8.894523
2399,15.07508
4891,5.778279
4071,1.964781
8029,63.90801
5552,58.60767
976,1.515452465
7291,61.9635
9932,55.74644
7791,54.79873
607,4.109952242
5935,54.77909
4613,11.72692
2056,16.59389
9369,51.87217
7381,70.23581
9042,70.49752
2891,4.63962
3701,4.434036
5728,58.74129
3143,2.408011
7936,58.50038
3779,17.16447
3171,9.705314
1431,15.98515564
3099,16.17631
1735,2.405574983
7748,70.06451
7691,63.17917
8242,56.3981
6458,69.21008
6326,71.36043
2401,4.323297
6287,64.29998
8114,53.79108
8646,43.50607
3426,3.511593
5705,70.22928
3365,7.869508
4220,1.923729
3572,5.27717
475,5.372758028
6143,71.73306
3136,9.372647
6333,53.06256
5899,50.76733
8170,69.61652
5863,70.00887
2645,1.99818
9941,71.67689
4500,7.521969
3943,13.41057
3294,8.322733
1636,16.72537387
1387,12.48678964
1668,5.260793737
9039,56.56173
8723,63.45694
3743,13.02429
7238,55.98127
9454,50.26004
1891,7.18546062
7507,55.55453
9090,62.45443
8793,61.82003
153,3.260462654
8450,68.55339
9639,67.85943
275,9.517703088
9483,67.74157
2191,7.109947
9125,64.03187
4404,7.465071
7511,55.06506
7603,59.84762
3766,8.249394
7866,70.33871
6681,71.91816
8289,68.47117
2364,2.734057
4255,6.322807
3865,1.481935
4615,12.04581
6581,63.21825
346,14.53315436
4309,7.294292
875,8.735757967
7025,69.70806
9992,56.47233
2232,4.338536
4565,6.564797
9085,64.71389
690,23.02862012
9362,66.13697
8206,68.69369
5285,65.74132
7279,69.88786
2653,25.10781
9241,57.95709
4390,1.925345
500,11.91663193
9645,68.95898
6600,62.54412
8489,59.60557
9095,53.24081
9033,68.05839
7249,70.09511
1433,2.256763731
8770,64.14083
751,7.677648117
4435,1.709971
4695,16.64412
5820,66.70369
1952,21.1307851
1008,22.11524673
5589,70.49798
4320,1.11588
472,4.135515169
8188,43.99275
6643,65.09908
8380,70.01227
7535,61.16662
2303,13.71891
2460,8.939477
1592,11.07800251
710,5.567028377
9764,46.23966
74,2.378630018
7154,70.64083
3284,1.932645
439,10.27782059
2311,3.112447
3291,7.603445
1760,11.32652677
8868,58.90417
9699,46.86027
7187,62.27403
1129,9.067061096
697,1.338441957
8745,51.92063
9702,68.32444
3610,11.18714
554,11.40192641
7987,62.86179
5342,52.3499
818,10.26390461
9947,57.62812
2333,1.589535
5977,63.26277
1906,6.531735637
6254,51.4203
6585,67.86102
4512,2.596868
1457,19.08438023
3631,19.49059
8580,62.59775
6944,55.62125
9710,51.9774
4750,13.89557
2635,2.827378
9887,60.9855
2783,18.94429
4936,9.060452
8573,48.78507
2456,1.293544
8559,61.65935
7388,61.52081
9069,66.00877
4499,19.69566
2407,17.76511
8433,60.74742
812,5.786960464
7916,55.29166
1775,15.18036042
2194,2.180679
3476,10.89627
206,3.043063167
8267,54.68337
5361,54.10768
3615,13.77358
520,20.43854626
9196,61.42667
7312,68.57417
4152,19.94322
4617,1.76975
5528,68.85746
8706,55.49451
2259,12.85929
240,20.35456039
579,5.884557067
4548,14.66847
698,2.995498523
3153,7.930205
5914,51.83337
142,3.303030246
8814,47.67256
7649,58.76049
8107,59.0652
1856,13.40891729
7515,62.68348
7171,63.93709
2115,8.944195
4304,4.661936
4873,17.8565
3101,10.31129
3132,8.220002
6640,64.92702
4231,10.77389
5716,55.38418
3287,1.356734
991,6.240783682
8103,61.16472
216,11.94550648
6247,48.16091
3189,21.12911
7051,57.857
899,1.611546284
8184,67.63205
5187,69.15198
3447,19.19435
252,15.28108311
7419,65.31996
1839,18.29765062
718,9.472450618
4860,6.275924
6289,59.33259
4779,1.90586
2355,17.20502
4921,25.07759
8403,68.97498
8172,60.97847
2122,15.2109
911,2.368283285
5476,59.23589
1617,5.136076177
738,6.503513341
2728,2.945436
9931,62.94995
6355,42.64008
756,19.9441873
7869,58.42671
4987,13.288
7354,45.91201
723,14.71592037
7705,66.7755
5319,50.66574
6162,62.36767
6397,53.63969
1843,11.46566243
2278,5.63873
3927,4.422442
9470,49.61816
7196,66.74885
2491,4.847411
4528,4.18206
8396,68.00942
7329,59.49517
4015,2.866331
731,7.439569893
2465,3.761061
6171,71.65389
8859,65.16987
4134,4.806626
3119,10.18298
3807,9.147346
695,1.570209934
5078,64.08432
7749,57.22556
1670,11.72200614
6710,38.02352
7088,49.26311
9865,54.74518
7469,48.53271
1120,10.92511005
8465,71.24754
2314,21.08084
8843,69.5048
9712,67.28651
5433,68.64996
5030,42.19555
5128,70.52235
4772,7.354812
1875,7.827055149
3029,17.2501
4832,9.389007
8422,51.53345
7030,71.14976
3700,16.64015
2789,20.32585
2519,8.113307
6888,60.4093
6549,61.62569
5833,68.63236
1202,13.3451101
2484,9.000396
4340,9.938448
7797,62.83739
3007,22.54598
4942,6.214633
9505,53.37805
9564,59.8408
3756,2.560691
9944,59.85298
1504,16.24273454
2393,11.36938
2884,6.140643
398,10.90397471
113,17.88002366
2733,23.22012
6297,55.76858
7518,52.74302
7470,51.83967
8274,57.92383
3950,7.022294
8852,69.24664
5453,38.28807
8196,60.81814
8650,57.51975
3760,3.811111
4612,1.921112
8474,61.36647
7588,48.5611
6940,64.11518
9670,57.20402
7546,70.19371
4758,17.1248
9914,60.03004
7067,65.82346
4578,4.439464
4202,2.885895
7809,52.53836
5279,70.30482
3279,5.599131
8984,69.98687
8466,62.69829
2243,8.492902
9145,70.16029
6936,66.49134
774,9.07068647
3913,4.86918
7390,59.7815
1696,2.613920398
2063,10.32943
6459,67.61857
7440,58.79677
5496,68.74532
6884,58.09125
186,8.08137067
9807,70.52617
4654,1.712499
7545,53.42523
4411,4.055418
7717,49.26352
2590,12.173
2455,5.23657
3286,22.25056
1043,2.601455981
1531,11.75090487
6962,43.13392
4034,25.43027
8321,45.62851
8050,67.56344
5061,51.20818
4291,6.602711
3059,7.032433
8230,61.28236
12,13.01149229
1564,2.916144419
6633,37.11912
1568,8.926271021
5139,58.83809
3554,6.933201
1982,24.77325806
5124,39.23416
6248,61.93975
2055,2.104985
1867,14.45556293
3305,14.24378
6098,69.87194
1001,6.429025787
1567,3.943033602
7280,57.06138
3050,21.13934
3539,9.543016
6169,56.53318
3614,1.364515
4755,15.13225
4395,9.900853
5961,61.77794
5029,66.77924
7292,52.53762
6997,68.74835
5699,67.40482
1743,13.82541752
9211,54.67414
6311,60.72645
2756,3.122125
2420,10.55912
7337,56.81197
1678,6.525380768
2220,3.089663
2301,4.770815
6670,61.80438
9540,60.64369
7506,64.39242
88,3.76663012
6847,65.0113
6849,50.60484
4708,9.875391
1086,8.92504512
9705,65.63324
1983,8.856546048
3643,11.6573
5827,44.39429
806,7.748288711
6328,55.11933
6539,62.09112
5759,66.05097
2306,14.80965
678,6.999864982
1318,24.0737635
8651,69.4702
1160,4.00803296
5976,69.37615
862,2.010353461
7109,59.33894
9314,59.17567
8102,68.4249
9034,49.45192
3678,2.976407
5363,49.18219
9361,70.17477
3586,5.72421
1520,7.175063445
6132,58.26304
4121,17.25428
8374,59.48183
8873,71.21314
2548,9.470798
5297,61.25573
5740,60.32779
9565,61.00345
8,8.220686373
6018,52.07024
2565,9.817033
1702,2.758173633
198,3.756359276
2346,8.487326
517,7.226076469
5460,57.76017
8458,56.26037
9202,52.78111
993,4.868716415
2334,7.88215
5879,66.9541
5515,52.03938
2433,7.948145
2542,29.62966
4677,4.533178
3605,2.407697
8017,46.77244
2719,6.472433
1390,7.195646567
2190,4.836004
1518,6.910330858
225,9.999416271
8171,40.73541
4031,17.31427
5584,52.98033
7910,52.36016
5300,68.53091
371,8.498042024
2723,8.962034
9059,61.85639
3957,16.74968
4035,20.21413
8712,66.00509
5318,58.42415
414,5.254442453
3440,4.638114
6543,40.87895
1784,6.418130939
6409,60.95034
7485,59.16562
1196,6.695029374
69,2.203859443
9654,66.969
7425,66.31705
364,24.8868126
6988,70.82774
5621,60.87582
7542,49.61348
4831,17.93561
9412,50.58579
3233,8.664975
130,6.085030507
302,14.14101821
2866,9.938487
6342,66.99471
4725,12.79286
5173,59.29981
6367,53.4946
235,23.62866494
6379,66.31632
2340,13.24052
1232,18.81607435
6404,69.56294
7793,47.56294
8127,55.39854
6529,60.53871
1370,9.941798485
3937,7.626943
6765,66.36534
730,7.004427474
7670,60.89154
5601,60.99804
9257,63.35816
8402,43.93445
9434,64.93663
5555,71.9076
6233,63.18349
9733,65.85431
2657,6.7064
5101,69.46803
910,9.637781398
2396,5.857544
2526,2.589165
5258,69.03829
1881,5.731198479
3522,3.662342
6886,66.52106
8771,69.657
3251,5.875553
1377,14.05740045
2938,3.294082
4009,2.235315
1173,9.378558244
4731,10.10287
1027,4.303849456
8839,60.93346
560,9.306233406
2171,16.02992
9741,60.45443
6775,66.3883
6423,50.073
443,7.262579715
84,2.257358355
8273,52.95508
6912,55.64232
2812,18.7404
7886,53.06052
9902,49.76373
6524,59.12578
1974,14.64298089
2833,5.447689
1209,1.374911824
2887,12.69289
5168,58.67524
8976,65.50686
1975,12.57273206
5996,67.27106
8695,50.77278
3909,5.21614
534,2.359067126
6808,55.09689
9988,71.26306
1133,1.491763776
1551,5.836790126
9935,70.50359
4915,5.119045
8190,67.27889
8874,63.53539
269,2.411712843
661,16.67574291
6547,48.57121
6019,67.99211
6335,60.07014
2868,9.841833
4540,19.84947
7724,58.2078
8133,49.39534
8818,47.60481
8980,65.09085
1933,11.59620573
3338,8.301576
7948,68.53399
8048,56.53633
4761,5.73926
7428,63.95686
5965,66.69393
3939,2.142469
205,17.72593456
2235,18.5303
3369,10.3665
4821,1.116305
322,14.6728104
4967,2.397122
8515,65.91489
8664,69.67964
6113,67.49275
2764,1.201025
6733,63.17834
5894,66.94288
1736,14.10031907
858,17.28550612
4130,18.61815
9223,65.67292
4763,10.89731
7198,69.91626
9915,45.33085
6711,58.5543
8419,55.62538
2385,12.26499
8405,50.76631
5659,66.22209
2914,5.006746
3551,9.49793
2318,12.21802
416,6.417132666
96,6.796299371
6322,67.09561
4842,4.820891
8757,62.75391
741,15.70393958
8707,57.65949
4050,4.557348
9666,63.56455
5268,50.49072
262,8.959047529
9124,59.61692
4423,15.22417
4902,9.648973
7418,64.86671
1544,2.701548767
24,5.770390256
689,5.78988794
3434,15.43828
6839,67.675
3266,6.465898
8571,36.19603
2493,6.116652
2269,7.80313
260,10.57197066
5527,65.64814
7865,68.90605
8612,64.68179
2388,9.388962
2329,4.527648
5211,69.16302
1338,2.978504665
9216,53.27554
7068,71.19605
7503,50.7426
5799,65.87412
2100,5.459489
8074,66.64396
6518,47.32828
1487,11.44196811
5816,54.23273
6444,55.67304
8741,62.4542
758,3.248169927
3357,1.398734
1171,3.61323465
1859,20.40555252
5109,42.73326
7028,53.90195
601,2.437089876
1601,7.521160625
7961,55.16171
7849,47.65766
9478,60.09935
7275,63.23545
927,6.434280902
8384,48.50031
9417,56.14325
3569,6.597395
1692,9.320973584
1772,2.693860703
8263,63.28052
7522,43.91775
4672,10.61246
6278,59.51823
8041,53.62757
8759,69.22651
4958,10.70911
535,6.811759674
4816,13.63405
8877,46.55186
3088,20.72068
8255,60.97619
429,16.52138638
5849,63.07092
2753,1.835564
9825,50.8022
4201,7.874401
6024,55.20008
2621,16.75789
4261,3.402225
9595,54.41975
4649,7.965702
5067,64.09564
9687,61.53436
6358,69.32269
4225,5.129202
1419,8.085917091
218,21.29342532
5406,43.41671
5087,57.50724
4658,13.69077
8923,58.36296
2249,3.459881
2166,1.650984
7271,63.21638
5481,49.8342
3351,5.179771
109,9.473091121
7723,45.80397
7617,63.47441
2675,4.617824
2332,8.970035
3647,20.87125
745,9.539962975
6546,61.44671
6006,69.30257
7412,64.63454
5340,67.05213
6762,58.3075
6156,63.99841
3414,3.699808
7600,58.43075
8907,63.20833
8785,51.36891
2990,9.25677
7544,63.63151
1857,3.857491515
3907,2.970609
2708,9.026366
7029,71.85743
1988,1.277136149
7151,63.55356
6792,51.01884
431,5.02568958
9206,56.96287
1,1.156680997
7616,53.36122
3484,27.44938
7367,58.80144
5688,37.5005
3401,7.831837
2883,14.89363
5348,48.97044
1806,8.884543585
1632,1.609325308
7054,70.42655
2266,7.667371
5980,67.28766
2245,2.734669
7495,64.30983
3093,10.12304
6148,55.40938
2014,18.2156
2428,15.07394
2518,17.91527
5990,48.95603
1473,10.44223446
8501,49.22149
401,1.28507969
2877,2.458795
2374,23.16242
1262,7.537243981
6349,66.67669
9899,71.54108
8657,71.84893
5007,70.51996
1545,1.665089598
1688,1.030630574
3623,3.857792
7944,55.27064
2537,1.025579
7449,46.87676
2568,13.43811
4092,9.062033
7094,70.85741
8925,54.99066
7536,61.68428
4184,6.311363
1763,13.63916478
5191,63.05897
7106,70.8569
9868,54.87071
5284,67.81163
4193,3.479316
4198,5.102617
2824,11.55831
3121,2.072617
219,4.95598008
6900,70.84512
195,3.226996711
716,16.75922789
9579,64.59012
9577,53.98876
9496,43.01015
2213,2.707119
7568,52.75072
9270,67.69779
5147,54.09422
9548,47.9937
3542,13.25623
9966,61.28212
2971,1.450219
545,1.597765127
6873,69.14112
3559,9.298353
6271,66.97309
4084,9.873648
56,9.563362997
4938,11.7516
5158,68.76541
4847,9.525184
608,2.566196093
4270,15.98922
832,7.542749465
9021,70.49442
6757,47.83726
3363,8.924108
405,3.288124191
8732,60.98321
4647,9.74066
1695,6.289468375
871,12.84560044
9775,71.97999
5073,66.50929
2296,9.361841
6889,53.84369
9858,57.4792
3708,5.213752
66,4.471254161
6608,54.22191
1006,5.688867768
2234,2.649474
7653,69.74808
3825,10.52734
3596,23.12261
7539,65.25688
1330,1.699850064
8928,71.58757
8228,71.70793
6525,55.62195
5629,54.2897
8037,69.22859
241,12.00925702
5438,68.65945
9352,49.69121
1012,7.852675802
8038,60.15609
939,1.276890621
2027,3.843142
3490,15.36862
8862,70.21916
5841,60.69462
8680,67.73415
381,11.16847385
1177,5.597557242
6205,69.80788
1391,15.15825465
223,2.581692044
2611,2.333094
5429,71.52256
6999,67.44839
5770,70.18932
4941,18.08315
9864,56.24607
6610,38.7682
5544,64.16494
5090,51.31462
5358,61.04844
6688,66.8244
361,4.950398978
1778,8.661116617
7123,65.15223
546,8.054118994
9484,64.95028
9420,57.33305
507,13.04542381
977,3.857300987
8760,36.28161
6803,69.86292
8351,65.52159
6782,51.6849
349,3.365552603
5905,48.31617
5380,71.41865
4766,4.370713
1327,5.696461819
2459,16.56317
117,12.58298231
9328,44.73398
1586,2.593102097
8796,68.59726
854,8.802527803
6366,57.18666
9885,63.17583
1979,14.7212152
1245,9.323157168
6413,56.57319
2001,1.229945
465,14.58066686
3914,5.145314
2806,11.70115
8967,69.58993
6398,47.17599
5633,46.30619
7093,41.22287
8683,66.07094
9823,68.61974
8166,56.19179
4271,2.337769
8912,65.90545
7747,43.45813
6184,70.98518
8502,52.60487
5541,52.41441
5044,71.37293
8567,54.0833
192,2.964559883
9601,69.69551
3904,7.495947
4511,13.36689
2215,7.458443
6805,38.6818
348,1.281566108
7609,67.62049
5224,53.09491
7056,67.5801
873,1.656338685
7629,39.32461
6621,58.52409
9260,58.20411
3303,14.56261
4376,6.708628
7584,57.90418
925,4.245035615
2830,4.612442
3109,6.725815
3609,10.92718
7372,64.22853
9900,50.88709
8457,62.99453
4257,1.31809
1465,2.180613468
6433,58.7517
6314,48.25774
8093,60.95525
682,17.80378998
7695,57.70698
8411,60.16674
9245,52.68435
596,13.70230727
2325,12.27217
2951,11.05993
8776,66.31761
6239,55.66379
9994,49.92156
4651,8.542338
7952,58.17786
30,11.08287797
3552,4.740006
5155,50.18296
315,12.4767812
619,9.14991493
8623,61.0763
1392,22.56250894
1864,5.291754183
6307,62.32241
3815,7.232429
7465,67.3458
1042,15.1418246
2211,6.840972
9256,62.17986
9575,67.29135
4995,9.035721
5692,42.67725
7254,66.54966
4278,24.09793
9511,62.28135
3509,19.42268
7048,64.43912
9974,70.20568
1965,7.757685471
531,10.81997919
2186,17.55138
793,4.208227552
9785,64.39513
2690,6.183692
3780,4.297488
4059,4.825693
2210,8.696181
951,1.59959844
570,10.81527088
6841,68.53196
1511,2.60003549
6032,68.93162
1809,8.013365588
5486,38.54459
114,13.12190056
7902,67.58811
666,14.86270396
5862,57.56205
9558,60.7205
2698,17.55759
5744,64.44445
9166,63.86178
7885,53.79471
6361,60.46139
7403,57.08875
3783,10.13181
1524,2.314052799
2553,1.500126
6972,66.60157
6403,47.98376
1828,5.643360294
5943,69.67895
1630,12.27728241
17,2.303331273
4625,17.74303
3014,8.58684
7534,55.97115
7330,47.2887
7638,62.70376
965,2.625315241
7378,44.29563
7667,68.3119
7310,51.62495
3117,3.213888
1428,11.44470291
483,3.956375328
4616,1.574932
4132,4.351173
7851,64.62103
5547,51.32084
9118,69.93494
8557,62.27729
8224,50.31252
2552,7.990345
1155,10.39427126
6614,65.57158
8155,69.59174
3526,11.16386
2773,12.01983
7855,65.45503
1083,7.292787239
7004,70.24121
5183,52.62121
3162,1.481645
3737,17.02059
6192,61.20259
1302,21.16641251
3075,7.899007
