,Churn
2894,0
2339,0
3671,1
4766,1
1550,0
5519,0
4861,1
10211,1
2278,1
2139,0
4497,0
2913,0
6336,0
238,0
8242,1
4145,0
613,1
7043,1
7089,1
2515,1
7135,1
4477,0
5813,1
2615,1
5767,0
3262,1
3932,0
1138,0
5888,0
5365,1
3838,0
1247,0
9213,1
2716,0
7633,1
7443,1
2851,0
10033,1
9509,1
2126,0
7582,1
2511,0
4827,0
3437,0
10063,1
5621,0
9948,1
456,1
9847,1
3445,0
5097,0
2071,0
4534,0
8908,1
527,0
4233,1
9324,1
9602,1
10024,1
1955,1
8635,1
9066,1
9313,1
7755,1
2172,0
2368,0
10003,1
4030,0
7415,1
7376,1
8285,1
828,1
7084,1
2310,0
5073,1
4734,0
9414,1
5228,0
5722,1
6458,1
6696,1
1090,0
5252,0
2755,0
6935,0
9280,1
8279,1
8927,1
7497,1
1322,1
9777,1
2429,1
6638,0
8879,1
10158,1
1089,0
1055,1
3243,0
9356,1
6705,1
6105,0
5559,0
1119,0
9326,1
3164,1
5502,0
4302,0
8463,1
8849,1
6871,1
1303,1
7673,1
9833,1
6606,1
8161,1
2642,0
4097,1
2102,1
8706,1
7798,1
3759,1
4142,0
639,0
148,1
4658,1
1811,0
4136,1
7947,1
194,1
2377,0
8821,1
1361,0
7439,1
4482,1
1626,0
8435,1
978,0
3990,0
10053,1
2348,0
7610,1
3611,1
3628,0
9795,1
2101,0
5112,0
3689,0
1369,1
1961,0
773,0
6909,0
2939,0
9712,1
4066,1
9483,1
9377,1
6239,1
2811,1
7760,1
1329,0
9858,1
474,1
4637,0
3619,0
8456,1
9456,1
8585,1
9263,1
9357,1
3757,1
3081,0
7995,1
4920,0
8069,1
4339,1
3955,0
4140,1
552,0
880,0
5136,0
9697,1
3465,0
2505,0
9169,1
5518,1
2926,0
568,1
9488,1
3908,1
4298,1
9632,1
9348,1
3782,0
1752,1
5508,0
6865,0
4523,1
4965,1
5396,0
3883,0
9730,1
1014,0
8236,1
6343,0
3601,0
8936,1
6078,0
6464,1
2291,1
9182,1
8810,1
10228,1
9589,1
4133,0
3614,0
7756,1
9329,1
10290,1
1555,1
2902,1
4400,0
2067,0
768,0
8110,1
2644,0
6999,0
1292,0
2011,1
7031,1
4269,0
4747,0
7964,1
7417,1
6084,0
9125,1
1953,0
4627,1
9554,1
3000,1
1343,1
917,0
5939,0
6335,0
4929,0
1336,0
7438,1
5032,0
8932,1
2586,0
7237,1
7331,1
6289,0
7621,1
85,0
3319,0
9953,1
8874,1
9168,1
2038,0
7624,1
2095,1
502,0
3789,0
4794,0
6798,0
9800,1
2623,0
5833,0
3200,0
5464,1
991,0
4580,0
1840,0
9752,1
1633,0
8741,1
2870,0
1469,1
2218,0
3682,1
6776,0
6024,1
5926,0
1889,0
464,0
10006,1
8554,1
4608,0
557,0
3245,0
470,0
8488,1
7409,1
6434,0
435,1
1642,1
2627,0
8559,1
7749,1
8789,1
8421,1
1814,0
6012,0
4372,0
9581,1
5384,0
7572,1
7577,1
9404,1
5566,1
6649,0
5044,0
418,1
6201,1
2298,0
9032,1
8555,1
8297,1
984,0
621,0
2191,0
4291,0
2823,0
10190,1
8520,1
9076,1
8720,1
9715,1
4757,0
5081,0
1906,0
3852,0
723,0
1448,0
5710,0
7542,1
6745,0
3281,0
4435,0
309,1
4247,0
872,0
8066,1
875,0
3874,1
4381,1
5622,0
9204,1
327,0
7791,1
8564,1
287,0
7312,1
9643,1
8288,1
3335,0
8661,1
1830,1
912,1
9658,1
5348,0
7593,1
4231,0
3398,1
7222,1
4393,0
1463,0
5740,0
559,0
138,0
9068,1
1687,1
2078,1
3651,0
5078,0
7474,1
9194,1
9205,1
5286,0
3585,0
7771,1
8690,1
7446,1
8289,1
7258,1
1517,0
5126,0
5921,0
7590,1
2911,0
7398,1
3831,1
5788,1
2357,1
6030,0
6753,0
9579,1
4857,0
7715,1
3631,1
9761,1
2372,0
9964,1
8968,1
4178,0
1865,0
9551,1
9957,1
6230,0
1050,1
9925,1
3403,0
900,0
9816,1
9686,1
4860,0
9480,1
7723,1
6042,0
2480,0
5139,1
3617,1
10248,1
9830,1
8577,1
9323,1
9912,1
7827,1
6908,0
9042,1
5835,0
4542,1
8515,1
2242,1
290,0
4126,0
9866,1
5946,1
4708,0
3126,1
8887,1
8496,1
7670,1
9448,1
4237,1
9189,1
6868,0
6918,1
10133,1
2566,0
3566,1
5693,0
413,1
9648,1
8022,1
1041,1
6904,0
2650,0
4412,0
5979,0
5121,0
6783,1
8304,1
4238,0
4194,1
1331,1
6488,0
6139,0
6379,0
6677,0
9934,1
7188,1
6876,0
8756,1
4655,0
5128,0
3736,0
3616,0
7646,1
9453,1
7751,1
5660,0
8791,1
227,1
3112,0
2465,0
8384,1
4401,0
6154,1
1705,0
2682,0
6387,0
5925,0
5859,0
2290,0
2795,0
6866,0
10232,1
1721,0
191,0
6946,0
4185,0
4617,1
7880,1
530,0
6054,1
9229,1
4434,0
7994,1
9531,1
1460,0
5296,0
9471,1
291,0
8668,1
4008,0
4503,0
5065,0
5786,1
1352,0
7865,1
4045,1
8029,1
8678,1
6670,0
9005,1
6740,0
2531,0
2485,1
4139,0
4525,0
6967,0
7983,1
2044,0
7236,1
8820,1
5527,0
8694,1
6313,1
5193,0
9718,1
10293,1
8745,1
4490,0
2655,1
2369,0
6303,0
7040,1
8462,1
1756,0
1685,0
5805,1
2909,0
2039,0
6754,0
2635,0
9598,1
4842,0
9036,1
9154,1
6711,1
9391,1
3696,1
5482,0
2829,1
4125,0
3208,1
840,0
3857,0
2789,0
5500,0
2026,1
3413,0
8482,1
667,1
2843,0
3790,1
1380,0
1922,0
6821,1
34,0
9741,1
2484,0
10000,1
1431,1
3879,0
3517,0
10289,1
1481,0
5364,1
3873,1
1216,0
3355,0
7716,1
5905,0
1246,0
8528,1
3098,0
345,0
8220,1
7493,1
8374,1
6848,0
8986,1
7731,1
6168,1
4852,0
6609,0
4214,0
4499,1
826,0
6290,0
8687,1
1960,0
8573,1
5528,1
9738,1
5229,1
7862,1
6983,0
3013,0
2815,1
3829,1
2399,0
5198,0
5899,0
4258,1
607,0
6305,0
4906,0
2056,0
9651,1
6411,1
3143,0
8457,1
3171,1
1735,0
6571,1
6853,0
2401,0
4755,1
3365,1
3572,0
3136,0
9449,1
8773,1
8431,1
2645,1
9690,1
1120,0
1636,0
1668,1
6284,0
3022,0
7972,1
6948,0
1891,0
9927,1
3809,1
4117,1
9398,1
6986,0
4615,0
8541,1
9082,1
4908,0
346,1
6436,0
7902,1
2232,1
9181,1
8233,1
690,1
7068,1
2653,0
4656,0
500,0
4700,0
4172,1
751,0
9470,1
6823,1
1952,0
1008,0
6546,0
3756,0
4995,0
7048,1
4157,0
9984,1
2303,0
2460,0
710,0
8023,1
74,0
8170,1
2311,1
1760,1
9138,1
9570,1
8633,1
1129,0
9010,1
3610,1
2333,1
6988,0
8841,1
5052,0
10181,1
10282,1
1318,0
6832,0
2407,0
8691,1
1187,0
2194,0
3476,1
5697,0
3615,1
7574,1
4410,0
5872,0
8970,1
2259,0
240,0
698,1
6283,0
142,1
2115,0
5457,1
7045,1
7773,1
7532,1
3287,0
2924,1
4777,1
3189,0
5875,0
899,0
7859,1
252,1
5970,1
1839,0
718,1
5167,1
6674,0
7042,1
2355,0
8479,1
2122,1
911,1
5814,0
2728,1
806,0
9295,1
8183,1
9757,1
1843,1
7563,1
9179,1
2491,0
5836,1
731,1
6549,0
5570,0
4390,0
3119,0
3807,0
695,0
8601,1
862,1
8080,1
8664,1
2314,0
5344,1
7966,1
5075,1
1875,0
3700,0
6199,0
1202,1
820,0
5692,0
9851,1
7693,1
1504,0
2393,1
2884,0
113,0
6682,1
7154,1
9121,1
5601,0
4552,0
5670,0
4905,0
9298,1
8031,1
10054,1
6456,0
2243,0
774,0
5355,0
2063,0
7895,1
7307,1
6225,0
4549,0
8009,1
2590,0
2455,0
3286,0
1531,0
7897,1
12,0
1564,1
5459,1
3554,1
1982,0
9075,1
4691,0
1867,0
3305,0
3539,1
8815,1
9732,1
8402,1
4429,0
9487,1
6697,1
2756,1
2420,0
7076,1
9825,1
88,0
5420,1
7912,1
4388,0
9996,1
1983,0
3643,1
6784,0
9141,1
6792,0
678,1
8913,1
1160,0
7585,1
7544,1
9286,1
7611,1
9306,1
4222,0
3678,0
5699,1
4275,0
6317,0
3586,1
1520,0
9659,1
4495,0
4102,0
8545,1
2548,0
9216,1
5194,1
9852,1
8,0
6391,0
2565,1
1702,0
198,0
2346,1
517,0
5798,0
5761,0
5033,0
993,0
2334,0
9568,1
5858,1
2433,0
2542,0
4974,1
3605,0
5093,1
2719,0
1390,1
2190,0
1518,0
9926,1
225,0
7074,1
4031,0
9027,1
10177,1
5629,1
371,0
4395,1
2723,1
3217,0
3957,0
4035,1
8976,1
9940,1
414,0
3440,0
7630,1
1784,0
6329,0
6028,0
1196,1
69,0
4164,1
4316,1
5342,0
8333,1
364,1
7418,1
8229,1
8006,1
8398,1
9695,1
3233,0
130,0
302,0
2866,1
5931,1
5025,0
8271,1
8207,1
4204,0
235,0
8917,1
2340,0
1232,0
4341,0
4282,1
6796,0
5863,1
4319,0
8406,1
9849,1
1370,0
3937,0
7181,1
730,0
8464,1
5949,0
9535,1
6690,0
3231,0
8523,1
5335,0
7403,1
2657,0
5421,0
910,0
2396,0
2526,1
6472,0
1881,0
3522,0
7309,1
6840,0
3251,0
9773,1
1377,0
2938,1
4009,0
1173,0
5031,0
1027,1
7896,1
560,0
2171,1
10032,1
5540,0
6816,1
443,0
7801,1
84,0
8525,1
7337,1
5706,1
2812,1
8269,1
10196,1
10279,1
1974,0
2833,0
1209,0
2887,1
4881,0
9889,1
9247,1
1975,0
6366,0
9089,1
3909,0
534,0
5063,0
10286,1
1133,1
1551,1
5579,0
6263,1
6608,1
8440,1
10034,1
269,0
661,0
9199,1
6392,0
8452,1
2868,0
8718,1
2035,1
9464,1
9942,1
6814,0
1933,0
3338,0
8307,1
8940,1
6019,0
8141,1
10028,1
7840,1
3939,0
205,0
2235,0
3369,1
5125,0
322,1
4273,1
5276,0
10278,1
10164,1
5243,0
2764,0
5040,0
6261,1
1736,0
858,0
4130,1
6616,0
6645,1
6842,0
10210,1
7126,1
7654,1
2385,0
6166,1
5313,1
2914,1
3551,0
2318,0
416,0
96,0
7066,1
10072,1
10204,1
741,0
8971,1
4050,0
9954,1
6192,1
4927,0
9291,1
262,0
5879,0
8786,1
4707,0
7871,1
6639,1
1544,0
4501,0
24,0
689,0
3434,0
6258,0
3266,1
8984,1
2493,0
2269,0
260,1
6747,0
3982,0
5062,0
5678,0
2388,0
2329,0
5796,0
1338,1
9492,1
7501,1
8956,1
8845,1
2100,0
9612,1
9332,1
1487,0
6746,0
6839,0
7546,1
9180,1
758,0
3357,0
1171,0
1859,0
5429,0
9275,1
601,0
1601,1
4721,0
8249,1
9473,1
9968,1
927,0
8640,1
9700,1
3569,1
1692,0
1772,0
6248,0
7984,1
10168,1
8877,1
8359,1
9024,1
5266,0
535,1
5120,0
9147,1
3088,0
8572,1
429,0
6215,1
2753,0
7619,1
4201,1
6397,0
2621,0
4261,0
1694,1
6005,0
4943,0
7100,1
9975,1
6749,0
4225,0
1419,0
218,0
5742,0
4853,1
4953,0
7759,1
2249,0
2166,0
5333,0
8436,1
3351,0
109,0
1764,0
8085,1
2675,1
5373,0
2332,0
3647,0
745,1
9776,1
6378,0
8223,1
6788,1
7157,1
5334,0
3414,1
5122,0
9177,1
8224,1
4782,1
2990,1
4454,0
6665,0
4775,1
1857,0
4442,0
3907,1
2708,1
7460,1
1988,0
6760,1
4649,0
9353,1
431,0
9767,1
1,0
8083,1
3484,0
6619,0
6043,0
3401,0
2883,0
6196,0
1806,1
1632,0
9586,1
2266,0
6377,1
2245,0
7955,1
3093,0
6525,1
2014,1
8430,1
2428,1
2518,0
6360,0
1473,0
8760,1
401,0
2877,0
2374,0
1262,0
10197,1
10193,1
8919,1
5489,0
1545,0
1688,1
3623,0
5911,1
2537,1
7905,1
2568,1
4092,1
9872,1
9049,1
8923,1
4184,0
1763,0
10121,1
6600,0
5436,1
5613,0
4193,1
4198,0
2824,0
5352,0
3121,1
219,0
7325,1
195,0
716,0
6339,0
7001,1
9333,1
2213,0
6113,1
9549,1
5467,0
6402,0
3542,0
7069,1
2971,0
545,0
9908,1
3559,0
6413,1
4084,0
56,0
7080,1
8750,1
6759,0
608,1
4270,0
832,0
6047,1
7173,1
3363,1
405,0
9645,1
8324,1
8695,1
4941,0
1695,0
871,1
7946,1
5389,0
2296,0
5161,0
9959,1
3708,0
66,0
9540,1
1006,0
2234,0
8124,1
3825,0
3596,0
8002,1
1330,0
7375,1
4864,0
10189,1
5980,0
4012,0
241,0
5775,0
5521,0
1012,0
8357,1
939,0
2027,0
3490,0
9132,1
6207,1
8759,1
381,0
1177,0
10010,1
1391,1
4797,1
223,0
2611,0
5766,0
7818,1
5848,1
5110,0
9235,1
7830,1
5889,0
6210,0
9293,1
6604,0
361,1
1778,0
5375,0
546,0
7364,1
8518,1
507,0
977,0
9417,1
7220,1
8607,1
7198,1
349,1
6553,1
4717,0
9428,1
5716,0
5069,0
1327,0
2459,0
117,0
9608,1
1586,0
9064,1
854,0
6757,0
6150,0
1979,1
1245,0
6806,0
2001,0
465,0
3914,1
2806,1
7968,1
8410,1
6777,0
6578,0
8946,1
10115,1
8755,1
4271,0
9183,1
7576,1
8420,1
8761,1
5885,1
6751,0
4987,0
192,1
5807,0
5776,0
8650,1
3904,1
4511,1
2215,0
8073,1
348,0
9520,1
7569,1
7488,1
873,0
5841,0
7025,1
6312,0
3303,0
4376,1
8049,1
925,0
2830,0
3109,0
3609,0
7823,1
10194,1
8855,1
4257,0
1465,0
10250,1
6700,1
8387,1
682,0
5609,0
8667,1
9522,1
596,0
2325,0
2951,0
9041,1
6623,0
8127,1
8273,1
4945,1
8309,1
30,0
3552,0
5475,1
315,0
619,0
8369,1
1392,1
1864,0
6693,0
3815,0
7924,1
1042,0
2211,0
9534,1
9862,1
5961,0
4924,0
7803,1
5750,0
4278,1
9796,1
3509,0
5283,1
10272,1
1965,0
531,0
2186,0
793,1
7132,1
2690,0
3780,0
4059,0
2210,0
951,1
570,0
4710,0
7260,1
1511,0
9965,1
1809,0
5824,0
114,0
4968,0
2180,1
666,1
6125,1
7368,1
2698,0
6104,1
5634,0
4241,0
6752,1
7709,1
3783,0
1524,0
4773,0
2553,0
7401,1
6795,0
1828,0
9811,1
6901,0
1630,1
17,0
4625,0
4711,0
3014,0
7996,1
6962,1
8107,1
965,0
7829,1
8140,1
7754,1
3117,1
1428,0
483,0
4616,1
4132,0
3785,0
5892,0
7353,1
8818,1
8474,1
2552,0
1155,1
7017,1
6913,0
3526,0
2773,0
8253,1
1083,0
9510,1
5338,1
3162,0
3737,0
9765,1
1302,0
3075,0
5178,0
6659,0
2058,0
2966,0
4472,1
4969,1
1679,0
6951,1
7740,1
3729,1
6629,0
9392,1
2148,0
7002,1
8566,1
6045,1
7382,1
4758,0
1732,1
8795,1
7350,1
6361,0
3494,1
9625,1
10062,1
1349,0
8842,1
4921,1
856,0
2525,1
10020,1
9819,1
8231,1
7814,1
2726,0
8784,1
918,0
452,0
6589,1
8340,1
450,0
789,0
9898,1
8478,1
4061,0
2696,0
2904,0
282,0
9394,1
3994,0
3717,1
6095,0
9090,1
10249,1
6591,0
7482,1
1949,0
582,0
2091,0
2074,1
2752,1
4149,0
9978,1
8816,1
7055,1
1191,0
1954,0
2019,1
161,0
1319,1
457,0
6092,0
6420,0
3672,0
2700,1
5212,1
2720,0
4508,0
6326,0
4551,0
3375,0
7314,1
3026,0
3801,0
5407,1
3570,0
9071,1
9403,1
9137,1
6161,0
7134,1
8654,1
2207,0
3788,1
4288,0
3053,0
9330,1
9055,1
4494,1
8483,1
417,0
1224,0
5058,0
6907,0
9784,1
9585,1
1786,1
4065,0
3528,1
1206,0
9828,1
923,1
8771,1
1905,0
849,1
8260,1
1956,1
9543,1
6765,0
8746,1
3146,1
2973,0
8117,1
1546,0
6686,0
2216,0
9969,1
9746,1
1031,0
249,0
3731,0
9831,1
10161,1
368,0
4285,0
2955,0
5990,0
1849,0
7122,1
8139,1
4245,0
9415,1
7787,1
6780,0
8316,1
7005,1
7971,1
942,0
4415,1
2188,0
6542,1
10099,1
5191,1
1689,0
2447,0
2200,0
6877,0
9277,1
9363,1
5428,1
5951,1
6900,1
6539,1
4175,1
9228,1
1622,0
584,1
10097,1
4572,0
5826,0
10078,1
4040,1
9106,1
5800,1
3805,0
4458,0
6146,0
59,0
8013,1
6352,0
4438,1
7860,1
5525,0
5452,0
3302,0
7849,1
780,1
8403,1
9804,1
9271,1
2715,0
2450,0
8190,1
4607,0
1341,0
3712,0
6123,0
8916,1
5505,0
4812,0
4098,0
1036,0
6860,1
2135,0
7703,1
4083,0
6680,0
575,0
4740,0
4,0
2694,0
7776,1
7556,1
4355,0
3537,0
9583,1
9789,1
9046,1
801,1
8768,1
5480,1
1450,0
9192,1
9810,1
1528,0
352,0
8115,1
4923,0
6140,0
8321,1
7835,1
3116,0
9450,1
9172,1
4642,0
4123,0
1165,1
1192,1
9868,1
3690,0
9148,1
4685,0
8502,1
1749,0
6568,0
3711,0
9668,1
1248,0
8091,1
6577,0
3016,1
5220,1
5553,0
6575,0
5447,1
2256,0
9395,1
9562,1
7491,1
5029,0
9635,1
3563,0
9552,1
5297,0
1452,1
5625,0
5676,0
996,0
2144,1
5919,0
1532,1
4681,0
7668,1
6198,1
5744,0
3225,0
3851,0
8120,1
3996,0
6256,1
4577,1
8862,1
847,0
333,1
6782,0
4786,0
357,0
9949,1
7648,1
6762,1
6579,0
8377,1
4006,0
5552,0
5111,1
1606,0
480,0
6470,1
6136,0
3415,0
446,0
4887,1
3573,1
6902,0
1273,1
3092,0
7217,1
10288,1
3976,1
9202,1
9362,1
549,0
4397,0
10251,1
6183,1
6541,0
5227,0
1212,0
2089,0
9637,1
280,0
4491,0
6603,0
9853,1
8261,1
8168,1
9580,1
2905,0
8038,1
7945,1
8235,1
6507,0
6323,1
4657,0
4394,1
7298,1
2601,0
498,1
1244,0
6552,0
2776,0
5724,0
9098,1
8964,1
9844,1
5938,0
2854,1
10009,1
5765,1
1846,0
892,0
2944,1
3391,0
1073,0
9437,1
2079,0
5561,0
6368,0
5988,0
8727,1
4095,0
5920,0
6307,0
3221,0
8265,1
5293,0
4992,0
4114,1
5433,1
7550,1
9118,1
4884,0
10224,1
7965,1
5399,0
8328,1
4699,0
9989,1
2534,0
2133,0
6468,0
567,0
6075,1
6726,1
2261,1
2647,0
6147,1
7834,1
6009,0
2714,1
1658,0
1441,0
6399,1
2619,0
4636,0
9972,1
7729,1
1596,0
2616,0
1493,0
8234,1
4308,0
4189,1
3640,0
1430,0
5523,0
8892,1
669,0
5636,0
9524,1
7622,1
2426,0
6087,0
748,0
4925,0
8822,1
9792,1
453,0
2132,0
2425,0
3067,0
9186,1
2889,0
1521,0
3446,0
5843,0
4493,1
3307,1
4120,0
1367,0
430,0
8206,1
1219,1
4694,0
6727,0
2389,1
5753,0
10273,1
1030,0
10295,1
9244,1
1393,0
9387,1
4962,0
6936,1
8531,1
8644,1
1148,0
7538,1
9750,1
10234,1
9158,1
4865,0
1556,1
9885,1
2440,1
3935,0
5248,1
5486,0
6503,0
5319,1
64,0
1822,0
7508,1
1395,0
7881,1
9694,1
6973,0
5771,0
8868,1
2859,0
1272,0
3110,0
6739,0
258,0
1619,1
5644,0
5170,1
9901,1
10071,1
171,0
7705,1
3241,0
9038,1
3769,0
3956,1
4046,0
2618,1
7710,1
3890,0
3457,0
4587,1
2240,1
3397,0
3603,0
6621,0
102,0
3487,0
1739,0
4559,1
9923,1
9248,1
3872,0
10292,1
6771,0
1767,1
3584,0
5989,0
5825,0
10166,1
8187,1
7520,1
9799,1
7383,1
8808,1
3688,0
3388,1
10169,1
1989,0
5299,0
5514,0
5624,0
4026,0
9745,1
8726,1
8045,1
8657,1
6889,0
9879,1
7553,1
4314,0
5555,0
9127,1
6929,0
1598,0
8348,1
3389,0
5371,0
763,0
3862,0
6247,0
4421,0
7028,1
5867,1
9933,1
8513,1
5669,0
5982,1
8152,1
7660,1
7242,1
7489,1
3400,0
428,0
1236,1
6450,0
727,0
8754,1
2147,1
1107,0
8228,1
5606,0
3936,0
10090,1
3660,0
7276,1
2998,0
7187,1
8600,1
1937,0
4338,0
7230,1
5036,0
3407,0
8632,1
8992,1
8603,1
1990,0
4895,1
5372,0
5686,0
8598,1
562,1
7685,1
95,1
3176,0
9047,1
8215,1
3080,0
3175,1
6491,0
4557,0
8655,1
314,1
9561,1
1620,0
1699,0
5809,0
6500,1
6380,0
2145,0
1930,1
7583,1
5273,0
9454,1
3602,0
5180,0
932,1
4828,1
7292,1
5647,0
1587,1
5340,0
8447,1
8422,1
4213,0
4817,0
4079,0
10219,1
7092,1
9900,1
5640,0
6614,0
1996,0
5163,0
5917,0
556,0
648,0
2871,0
5098,0
10137,1
5108,0
2591,0
7117,1
1471,0
4947,1
1076,0
1346,0
5049,1
788,0
3354,0
4459,0
777,1
2559,0
5287,1
9566,1
8188,1
203,0
2626,0
3677,0
3608,1
2758,1
8985,1
8660,1
3133,0
1005,1
104,1
5741,0
8226,1
9256,1
9373,1
990,0
817,0
5071,0
6810,1
658,0
5425,1
5450,0
636,0
2468,0
2323,0
245,0
4538,0
9319,1
8232,1
5900,0
4072,0
5967,0
4349,0
5210,1
7772,1
8794,1
778,0
3060,1
8860,1
5755,0
2672,1
7009,1
4596,0
726,0
8542,1
4096,0
3267,1
5215,1
6933,0
2066,1
1582,0
790,0
5957,1
5114,0
3074,0
9897,1
6169,1
6279,0
4052,0
1850,0
4603,0
7589,1
6647,0
8725,1
4931,1
1021,0
5743,0
7889,1
7090,1
9352,1
9059,1
2705,0
5890,0
7450,1
2082,0
3875,0
246,1
1072,0
285,1
2478,0
7843,1
7861,1
6435,0
481,0
5038,1
5972,1
4661,0
1204,0
488,1
4200,0
6017,1
1464,1
7129,1
6107,1
1816,0
599,0
2061,0
5773,1
8596,1
649,0
6098,0
4759,0
1581,0
1958,0
9748,1
5381,0
10105,1
4785,0
7202,1
3167,1
7504,1
6691,1
9190,1
5171,0
538,0
10259,1
6058,0
8785,1
383,1
6165,0
7430,1
9397,1
5454,0
7681,1
4276,1
1500,0
3296,0
1542,0
9320,1
2959,1
6022,0
8865,1
7224,1
7105,1
2414,1
9157,1
1293,0
3544,1
9572,1
2687,1
9728,1
6658,0
10143,1
6625,0
8613,1
4279,0
8129,1
5237,0
7107,1
2277,0
271,0
813,0
2772,0
3242,0
9334,1
8470,1
3323,1
734,0
5635,0
3428,0
644,0
1680,1
57,0
632,1
5996,0
9582,1
3003,0
8505,1
6531,0
6733,0
1936,0
5515,0
9476,1
6655,0
1934,0
4357,0
2264,0
5477,0
10271,1
1706,0
805,0
8624,1
3036,0
1976,0
4536,0
6912,0
2498,0
4715,0
1288,0
94,0
7499,1
157,1
6730,0
4718,1
1075,1
742,1
5704,0
9383,1
10046,1
5261,1
3568,0
2777,0
173,0
8367,1
2419,0
1754,1
2184,0
3427,0
3235,0
9920,1
2367,0
9388,1
10044,1
2382,0
211,0
7289,1
4724,0
3246,0
4506,0
2394,0
1482,0
4979,0
5799,1
8376,1
3113,0
8371,1
7993,1
906,1
1084,0
9463,1
5205,1
5655,0
9105,1
8293,1
10040,1
6025,1
9429,1
7044,1
4441,0
8620,1
6191,0
913,0
9312,1
2142,0
8147,1
7796,1
193,0
792,1
7259,1
7103,1
6426,0
7097,1
45,0
10058,1
3906,0
87,0
1744,0
2203,0
4586,1
2527,0
2464,0
9349,1
2358,0
9407,1
5499,1
8414,1
9638,1
7552,1
1552,0
