,Lat,Lng,Income,Churn,Outage_sec_perweek,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
9491,47.16312,-96.48879,34642.75,1,10.81203,0,1,1,1,0,1,1,0,0,1,1,0,212.6228,4730.05387,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
6526,29.81411,-90.74082,9970.03,0,9.405326,0,1,1,0,0,1,1,0,1,0,0,0,149.9778,3913.652398,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
4346,31.18888,-95.25573,44526.16,0,11.69889,0,0,0,1,0,1,1,1,0,0,1,1,164.9785,2396.551383,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
4974,34.51953,-86.61027,15629.94,0,10.25342,0,0,0,1,1,1,0,1,0,0,0,1,140.0013,1562.246266,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
7913,40.55564,-78.37019,38806.49,0,7.708065,0,1,0,1,0,1,1,1,1,0,0,0,162.5007,4668.189279,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
5611,41.72485,-73.7009,38691.22,0,14.09089,0,0,0,1,0,0,0,1,1,0,1,1,152.4742,4869.487736,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
8480,29.70443,-95.46175,49125.36,0,16.4764,0,1,1,1,1,0,1,0,1,1,0,0,184.9496,5218.124457,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
6625,35.38942,-97.48932,25276.81,0,7.885528,0,1,0,1,1,0,0,0,0,0,1,1,159.9476,5848.038669,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
5615,33.34884,-108.722,46288.04,0,5.375651,0,0,0,1,0,1,1,1,0,0,0,0,129.9915,5930.097335,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
5602,34.97725,-80.85827,42700.87,0,15.71134,0,0,0,0,1,1,1,1,1,0,0,1,162.5299,5234.429593,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
4857,38.72939,-93.55447,35775.82,1,12.08935,0,1,0,1,1,1,1,1,0,1,0,1,207.4811,1062.404345,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
6734,26.24163,-80.09364,93024.74,0,14.68891,0,1,0,1,1,0,1,0,0,1,0,1,172.4404,6239.568854,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
8451,36.46756,-94.21662,35741.44,0,7.626861,1,1,0,1,0,0,1,1,0,0,1,1,149.9845,5397.392962,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
6332,33.5849,-84.32917,22711.6,0,15.11605,1,0,0,1,0,0,0,0,1,0,1,0,159.9512,5817.831567,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
6798,48.67535,-119.2705,19461.01,0,9.696417,0,0,0,1,0,0,0,1,0,1,0,0,129.9621,5171.93181,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
5313,35.93863,-97.2638,10827.73,0,6.262775,0,1,0,1,0,1,0,1,1,1,0,0,144.9889,5308.935137,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
2821,37.79893,-122.3984,44055.54,0,2.874643,0,0,0,1,0,0,1,0,0,1,1,0,230.1051,1152.27854,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
9300,43.45592,-96.87384,28725.65,0,9.553584,0,0,0,1,1,1,1,1,0,1,1,1,277.6513,6705.630348,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
2375,29.13463,-99.16072,38069.49,0,15.77718,0,0,0,1,0,0,0,0,1,1,0,1,149.9483,325.5857485,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1478,33.43567,-82.31151,22183.52,1,15.26331077,0,1,1,1,0,0,1,1,0,0,1,1,149.984492,1488.81735,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
5013,36.67738,-95.22876,14083.69,0,12.19579,0,1,0,1,0,0,1,1,1,1,0,0,184.967,6234.682273,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1559,40.37271,-74.49384,49781.85,0,10.58941533,0,1,0,1,1,0,0,0,0,0,0,1,112.484375,859.8649518,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
8885,45.76353,-87.15961,47386.97,0,6.537862,0,1,1,1,1,1,0,0,1,1,0,0,164.9715,5218.998099,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
3986,34.31946,-92.63291,64821.36,1,10.32806,0,1,0,1,0,0,1,0,0,1,1,0,197.6288,889.1589238,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
4429,32.22388,-106.2628,22041.68,1,5.919886,0,0,0,1,0,1,1,0,1,1,0,0,154.9618,1394.025763,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
3951,40.86613,-96.70947,13383.49,0,6.157267,0,1,1,1,0,0,0,0,1,1,1,1,187.6422,1265.511252,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
2932,44.58139,-92.71592,10192.04,0,8.601513,0,0,0,1,1,0,0,1,0,0,0,0,157.4836,2149.727449,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
6419,44.5136,-88.57595,21248.31,0,8.372429,0,1,0,1,0,0,0,1,0,0,1,0,139.965,5884.305654,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
713,42.61224,-71.22746,52875.82,1,10.83227898,0,1,1,1,1,1,1,0,1,1,1,1,277.63748,1251.370845,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
8089,40.06335,-98.09144,11079.6,0,10.24287,0,1,0,1,0,1,1,1,0,0,1,1,152.5022,6097.873428,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
6058,24.58549,-81.75449,40030.35,0,12.43485,1,0,0,1,1,1,0,0,1,1,0,0,164.9715,6109.837555,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
8711,40.31047,-97.27153,8716.7,0,9.498593,1,0,1,1,1,0,0,0,1,1,1,1,220.1478,4917.704271,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
4185,40.75263,-73.97588,52312.84,1,3.075427,0,0,1,1,1,0,0,0,0,1,1,1,240.1149,1155.524102,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
4379,39.64231,-83.42115,32783.94,0,10.11537,1,1,1,1,0,0,1,1,0,0,1,1,149.9845,877.990892,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
7813,36.46185,-78.57428,33465.9,0,11.64064,0,0,1,1,1,0,1,0,0,1,0,1,159.9642,6339.798083,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
843,37.38322,-85.88311,48525.16,1,8.096814588,1,1,1,1,0,0,0,1,1,1,1,1,212.641455,1404.974888,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
655,39.92296,-76.71339,94520.02,0,3.507354765,1,0,0,1,1,1,0,0,0,0,0,0,147.478341,708.0622854,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
7219,46.36035,-91.14147,30553.58,0,11.17093,0,0,0,1,1,0,1,0,0,0,1,1,202.4433,5817.135191,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
982,42.40629,-72.69362,29853.08,0,10.71615894,0,1,1,1,0,1,1,1,0,0,0,1,149.99153,600.0687482,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
7439,40.91868,-74.63345,54874.47,0,10.07715,0,0,0,1,1,0,0,1,0,1,1,1,220.1615,4962.835767,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
8894,35.96724,-88.9928,90780.38,0,10.04844,0,0,0,1,1,0,1,1,0,0,1,1,194.9663,4093.69412,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
598,40.01503,-76.24601,42659.99,0,8.461081572,1,1,0,1,0,0,1,0,0,0,0,0,134.950905,1329.158978,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
5350,25.76324,-80.18462,45129.46,0,7.787097,1,0,0,0,1,0,1,0,0,0,1,1,169.9671,5319.532385,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
4221,44.84034,-73.27362,5853.02,0,11.25133,0,1,0,1,0,1,0,0,1,0,0,0,95.00571,645.1788133,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
1422,32.20478,-110.94563,66945.1,0,11.91191765,0,1,0,1,0,0,1,0,0,1,0,1,139.934918,1011.509096,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
3646,40.80167,-77.89961,17878.4,0,12.14678,0,1,1,1,0,0,1,1,0,0,0,1,147.4738,930.0652299,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
4387,32.92574,-97.22899,1193.66,1,7.364702,0,0,1,0,1,1,1,1,0,1,0,0,207.4811,2422.231415,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
2606,44.27155,-101.1956,46183.09,1,8.650145,1,1,0,1,1,0,0,1,0,1,1,1,252.6378,1362.782508,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4228,37.16994,-122.1474,8330.58,1,15.84283,0,0,1,1,1,0,1,1,1,1,1,1,287.6427,2425.973996,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1096,37.75515,-121.97273,162360.14,0,10.98788501,0,0,1,1,1,0,0,1,0,0,0,1,157.483594,1761.052193,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
8940,18.31828,-65.66785,63887.79,0,13.09197,0,0,1,1,1,0,1,0,0,0,1,1,182.4433,5755.545082,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
5814,33.69743,-116.1033,12621.78,0,2.911116,0,1,0,1,0,0,1,1,1,1,0,1,164.967,5871.888679,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
3706,46.18895,-103.4257,25009.73,1,12.10369,0,1,0,1,0,1,0,1,0,0,1,1,162.4827,871.4588583,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
2846,42.62569,-97.26944,68284.56,0,6.101071,0,1,0,1,1,0,0,0,1,0,0,0,157.4698,867.8924387,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
467,35.63586,-81.24087,69156.25,1,15.62909771,0,0,0,1,0,0,0,0,0,1,1,1,187.609354,1283.253595,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
8314,31.42396,-87.34222,65012.85,0,7.761601,0,0,1,1,0,0,0,0,1,1,0,1,149.9483,5209.217209,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
4595,40.97834,-73.72293,48618.33,0,7.121114,0,0,0,1,0,0,1,1,0,0,1,1,182.4608,914.6362933,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3725,42.82853,-71.85495,55120.82,0,13.50565,1,0,0,0,1,0,0,1,0,0,1,1,172.4705,1803.766672,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
6450,47.54126,-122.313,17440.08,0,7.934951,0,0,1,1,1,1,0,0,0,1,1,1,222.6326,4985.725486,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
6846,44.54693,-68.12714,5470.7,0,7.184819,0,0,0,1,0,0,1,0,1,1,1,0,210.138,5272.104771,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3891,34.02446,-93.41941,19184.88,0,6.589354,0,0,0,1,0,0,1,1,0,0,0,1,147.4738,1180.747336,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
7407,45.47947,-69.69393,23180.99,0,7.540516,0,1,1,1,0,1,1,1,0,0,1,0,184.9785,5327.251383,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
5892,43.23147,-99.56769,2421.1,0,11.51282,0,0,0,1,1,0,1,0,0,0,0,1,167.4564,4821.711621,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
5301,44.96348,-93.04827,6551.44,0,9.262983,0,0,0,1,1,0,1,0,1,1,0,1,172.4733,4231.43285,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
4808,37.6382,-120.966,10331.34,1,11.96519,0,0,0,1,1,1,0,0,1,0,0,1,139.9875,1039.187211,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
8148,45.57001,-92.44633,68319.38,0,4.399685,0,0,0,1,0,0,1,0,0,0,0,1,134.9509,5695.706857,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
3931,40.20944,-85.79019,54270.13,0,4.160642,1,0,0,1,0,1,0,1,0,0,0,1,95.01949,1424.90105,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
9672,42.24885,-90.4886,38083.17,0,16.71428,1,0,0,1,0,1,0,0,0,1,1,1,177.6508,4140.577207,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1312,27.78904,-97.74623,16526.81,1,10.86355397,0,0,0,1,0,0,0,1,0,1,0,1,117.485813,541.4070913,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
1942,38.96606,-93.59125,47635.23,0,12.58527236,0,1,1,1,0,1,1,1,1,0,0,1,142.500692,1402.374111,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
841,40.0563,-90.12895,6169.09,0,7.335113752,0,0,0,1,0,1,0,0,0,0,1,1,149.959755,1732.013844,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
5792,36.53888,-95.90055,52493.72,0,7.678366,0,1,0,1,0,0,0,0,0,0,0,0,112.4551,5727.757032,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3683,45.08482,-110.5725,21918.44,0,8.818958,1,0,0,1,0,1,0,1,0,1,0,1,120.0035,1973.92172,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
8876,37.79203,-122.4086,41066.46,0,9.467504,0,0,1,1,0,0,1,1,1,0,0,1,159.983,4968.105348,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
5660,42.61828,-74.56494,92352.67,0,7.82306,0,0,0,1,0,1,1,1,1,1,0,1,187.4847,5502.689262,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
4447,30.80303,-90.52182,56868.44,1,9.149023,0,1,1,1,0,1,0,1,0,1,1,1,222.65,863.525358,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
3066,33.41824,-112.2729,41550.85,1,10.53385,0,1,0,0,1,0,1,0,0,0,1,1,202.4433,1150.220789,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
8135,35.48196,-97.53683,61257.0,0,10.85703,0,1,1,1,0,0,1,1,1,0,0,0,159.983,6386.654255,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
5957,42.50734,-82.93697,13467.9,0,9.857833,0,0,0,1,1,0,0,0,0,1,0,0,137.4684,5954.517973,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
4678,39.44055,-84.07496,47347.97,1,8.141997,1,1,0,1,1,0,0,1,0,1,1,1,252.6378,1186.544217,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
2869,39.07035,-86.50724,47106.04,0,12.54048,1,0,0,1,0,1,0,1,0,0,0,1,95.01949,794.1801028,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
2535,36.2013,-78.73071,62362.09,1,8.889321,0,0,1,1,0,0,0,0,0,1,0,0,137.4392,587.7258611,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
5482,43.6856,-114.3323,28554.11,0,9.52118,0,1,0,1,0,1,0,0,0,0,0,1,114.9728,5769.179556,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
4302,29.28018,-98.47826,29622.06,0,11.62614,0,1,0,1,0,1,1,1,0,1,0,0,174.9755,1469.854845,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
5608,43.28865,-88.52968,106862.5,1,8.006363,0,0,0,1,0,0,0,0,0,1,1,1,175.1331,3851.447958,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
7527,59.86781,-151.4953,41620.84,0,10.94942,0,0,0,1,0,0,0,0,1,1,1,1,220.1185,6358.605209,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
1534,40.20858,-78.36079,28776.49,0,8.745070841,0,0,0,1,1,0,0,1,1,1,0,0,174.976769,1819.555319,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
8110,30.43976,-83.64029,37028.57,0,11.84676,0,1,1,1,0,0,1,0,0,0,1,0,137.4616,6014.752174,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
6699,29.34997,-97.58022,50038.58,0,10.96448,1,1,0,1,1,0,1,1,0,1,0,0,204.9634,5687.504971,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
4696,39.28856,-108.9516,41918.85,1,9.95519,0,1,0,1,0,0,1,0,1,1,1,1,242.6143,953.0836423,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
