,Lat,Lng,Income,Churn,Outage_sec_perweek,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
36,41.63306,-72.45472,10114.81,1,16.31017089,0,1,0,1,1,1,1,1,1,0,1,1,3.312991809,229.993134,897.5919144,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
37,41.10336,-74.68407,36229.21,0,9.447065309,0,1,1,1,1,1,0,1,0,0,0,1,7.161561527,140.00128,1340.930156,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
38,38.93845,-76.99317,25397.44,0,16.84100845,0,1,0,1,0,1,1,0,1,0,1,0,9.847563364,184.964681,1113.993679,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
39,40.37305,-75.2041,50336.5,0,7.972937227,0,1,0,1,0,0,1,1,0,0,0,0,16.04202196,147.473844,1530.10769,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
40,40.02145,-74.06183,38211.37,0,11.42906608,0,0,0,1,0,0,1,1,0,1,0,1,9.179779682,172.457857,1310.137419,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
41,40.26608,-78.45782,52887.26,0,8.06137096,0,1,0,1,0,1,0,0,1,0,0,1,3.002844144,107.481989,892.8964931,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
42,34.35204,-97.25336,12003.33,1,12.54780492,0,1,0,1,1,1,0,0,1,1,1,0,3.924254455,255.141716,1125.581944,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
43,40.52449,-79.08432,24090.62,0,8.255565152,0,1,1,1,1,0,0,0,1,0,1,1,18.55959629,192.456745,2016.710031,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
44,40.7955,-73.92968,15137.93,1,13.156514,0,1,0,1,1,1,0,0,0,1,1,1,8.798394712,242.632554,1412.736809,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
45,46.07835,-88.03348,54458.38,1,10.58349704,0,1,1,1,1,1,1,1,0,1,1,1,10.377366,245.174977,1710.689671,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
46,40.6998,-89.61143,132116.33,1,12.50184778,0,1,0,1,0,1,1,0,1,0,1,1,22.25746016,184.964681,2384.885909,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
47,48.68497,-122.19692,37358.13,1,9.750038902,1,0,0,1,1,1,1,1,1,0,0,1,9.427146079,195.006206,1213.940165,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
48,35.10444,-85.17661,26534.16,0,7.868660851,0,1,0,1,0,0,0,0,0,1,0,0,7.760290062,104.962874,740.010722,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
49,47.77527,-99.85,76430.83,0,12.43563329,0,0,1,1,0,0,0,0,1,0,0,1,11.56938439,92.488023,897.9716153,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
50,33.08977,-86.06138,4662.37,1,8.957166926,0,1,0,1,1,0,0,1,1,0,1,0,3.343811019,184.979684,1026.387172,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
51,35.73451,-80.20925,43820.85,1,8.015021713,0,1,0,1,0,0,0,1,0,1,1,1,7.338869531,187.656013,1234.244324,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
52,32.6644,-91.19645,38391.55,0,4.210347704,0,0,0,1,0,0,0,1,0,1,0,1,5.486534225,149.962093,727.3731845,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
53,42.47954,-94.75105,44137.6,1,11.13960534,1,0,0,1,1,0,0,0,0,1,0,1,1.55278221,169.944668,452.8721504,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
54,40.95947,-99.37702,14364.65,1,9.03738856,0,1,0,1,1,1,0,1,0,0,0,1,12.07970325,160.00128,1296.674543,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
55,37.44262,-81.57762,62359.91,0,10.91594785,0,0,0,1,0,0,0,1,0,1,0,0,13.98666226,129.962093,1840.628269,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
56,29.38147,-95.24205,82634.86,1,8.387624096,0,0,0,1,0,0,1,0,0,0,0,1,9.563362997,114.950905,1324.330108,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
57,34.49127,-120.08222,15690.25,0,11.4487514,0,0,0,1,0,1,0,1,1,0,1,1,6.732948946,142.515576,958.1397059,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
58,42.68864,-87.82515,14568.7,1,10.22013704,0,1,0,1,1,0,0,0,1,1,1,1,15.72071086,220.14775,1868.864027,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
59,32.12693,-83.06218,29207.46,0,8.425458142,0,0,0,1,0,0,0,1,0,0,0,1,7.233605493,124.97808,676.712908,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
60,35.3619,-95.26371,55319.23,0,8.386280619,0,0,1,1,0,1,1,0,1,0,1,1,2.871017037,164.964681,1086.990308,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
61,40.37342,-89.52646,81831.49,0,9.565924291,0,1,0,1,1,0,0,1,1,1,0,0,2.344875382,194.976769,704.7540406,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
62,41.37478,-76.03486,100076.65,1,10.79349982,0,1,0,1,0,1,1,0,0,0,1,1,7.960490246,152.455519,1416.444695,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
63,34.088,-109.3232,69965.65,0,6.081975067,0,0,1,1,0,0,0,1,0,0,0,0,12.25062113,92.5018,1095.950634,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
64,36.20782,-77.08433,34883.69,0,13.55065547,1,0,1,1,0,0,0,1,0,0,1,1,9.634946079,127.488728,1083.610268,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
65,38.29793,-120.62131,45634.2,0,9.470419821,0,1,0,1,1,0,1,1,0,1,0,0,7.916533093,184.963371,1570.641337,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
66,42.1295,-87.92197,10964.73,1,6.194985909,0,1,0,1,1,0,0,1,1,1,1,1,4.471254161,265.146969,1007.425553,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
67,37.82945,-94.33173,22365.28,1,10.80393657,0,0,0,1,0,0,0,0,0,1,1,0,10.79028074,207.609354,1323.028419,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
68,33.45204,-101.64305,52636.6,0,7.903964267,0,1,1,1,1,1,0,0,0,1,0,0,12.24190682,152.462354,1808.730555,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
69,44.48072,-105.68542,19048.13,1,11.27443693,1,1,0,1,0,0,0,1,0,1,1,1,2.203859443,200.132293,1120.241472,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
70,43.22975,-123.23433,42784.82,1,6.129509309,0,1,1,1,0,1,1,0,1,1,1,0,23.92132231,212.655686,2676.789803,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
71,41.31414,-81.74522,77996.88,1,7.969277912,1,1,0,1,1,0,1,0,1,1,1,1,3.7311787,255.119794,1268.086909,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
72,40.25609,-81.02123,47507.3,0,4.368120492,0,1,0,1,0,0,1,0,0,0,0,1,7.980015371,134.950905,822.6771666,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
73,48.43505,-104.4389,7724.73,1,6.258356398,0,1,0,1,0,0,1,1,1,1,1,1,9.190009376,255.137219,1577.915603,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
74,32.89431,-117.08013,1509.52,1,12.92303286,0,0,0,1,1,0,1,1,0,0,1,0,2.378630018,214.966286,648.7471776,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
75,33.9381,-118.3323,81124.71,1,12.43301273,0,1,1,1,1,1,1,1,1,1,1,1,5.43464555,270.160419,1648.102673,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
76,38.6184,-77.62493,11795.57,1,7.607663559,0,0,0,0,0,0,0,1,1,1,1,1,1.092361222,200.165175,768.0874545,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
77,36.94686,-86.60235,74794.84,0,7.442789019,0,0,0,1,0,0,1,0,0,0,1,0,20.13981517,149.937833,2426.030626,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
78,39.82437,-90.36129,19038.78,1,13.04429298,0,0,1,1,1,0,0,0,0,1,1,1,24.64873861,240.114868,2660.503932,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
79,45.98881,-94.37486,79167.77,0,14.89762162,0,0,1,1,0,1,0,1,0,0,0,1,9.677739656,127.495766,1129.549713,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
80,28.57725,-81.39726,37428.26,1,13.79387475,0,1,0,1,0,0,0,0,0,1,1,0,9.82814183,187.609354,1771.286466,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
81,39.9883,-79.99619,45148.38,0,15.66367593,1,1,0,1,1,0,0,1,1,0,0,0,7.832238337,169.992756,943.3391244,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
82,46.07835,-88.03348,74855.47,0,8.513410306,0,1,0,1,1,0,0,0,1,0,1,0,19.45250317,192.456745,1907.226083,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
83,37.40057,-85.72074,45323.86,0,8.265002035,0,0,1,1,0,1,0,1,1,0,0,1,14.34766616,120.004928,1885.939118,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
84,38.65158,-97.41275,71596.14,0,8.6026551,0,1,0,1,1,1,1,1,1,0,0,0,2.257358355,195.006206,631.7435653,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
85,38.75669,-77.0929,10389.95,0,6.03993035,0,0,0,1,0,1,0,0,0,1,0,1,2.358129018,139.95684,562.6095219,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
86,40.1613,-77.86247,19657.14,0,14.6040829,1,0,0,1,0,0,1,0,1,0,0,1,4.650578623,114.983787,593.8572264,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
87,41.77576,-87.66912,27827.03,1,7.274007029,0,1,0,1,1,0,0,0,0,1,1,0,3.721772616,207.638588,777.3060718,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
88,41.5865,-73.03305,15609.05,1,8.913898759,0,1,0,1,0,0,0,0,0,1,1,1,3.76663012,187.609354,1393.202392,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
89,40.54621,-120.23999,19815.63,0,11.59313893,0,1,1,1,0,0,1,0,0,0,0,1,4.151256695,134.950905,393.6524652,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
90,36.11785,-79.89432,58482.9,1,8.294186076,0,0,0,1,1,0,0,1,0,0,1,1,2.188918771,192.470522,409.7486664,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
91,41.83778,-71.31735,41656.53,1,15.19664016,0,1,1,0,0,0,1,1,0,1,1,1,13.85488928,222.628057,2138.107161,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
92,41.83849,-84.76277,115510.46,0,5.083995994,0,1,0,1,0,1,0,0,1,0,1,1,3.273341151,162.468917,443.984031,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
93,32.48494,-93.73255,15841.19,1,6.942719201,0,1,0,1,1,0,1,1,0,0,0,0,19.75096265,159.979358,2481.385603,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
94,28.32589,-82.32911,81127.41,0,9.834012571,0,0,1,1,1,0,0,1,1,0,1,1,18.38404445,184.979684,2233.567181,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
95,32.78137,-96.87917,24270.88,1,11.0596826,0,0,0,1,0,1,1,1,0,1,1,1,4.672610857,245.145743,1158.91369,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
96,40.57234,-87.80962,54466.33,0,8.834079073,0,0,0,1,0,0,0,1,0,0,0,0,6.796299371,124.97808,529.40733,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
97,40.97003,-87.59935,64816.84,1,5.271228601,0,0,0,1,0,1,1,1,1,1,0,0,12.97632235,187.484705,1956.7337,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
98,35.07431,-78.88358,103311.26,0,9.394961367,0,0,0,1,0,1,1,1,1,0,0,1,20.31163945,162.500692,2056.386979,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
99,48.36433,-102.42437,40211.04,0,14.4754365,0,0,0,1,1,0,0,1,0,1,0,1,6.998814446,182.467607,1067.373076,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
100,33.42521,-86.67144,58077.38,1,10.68311773,0,0,0,0,0,0,1,1,1,1,1,1,14.46288204,222.660939,1806.135733,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
101,37.58745,-87.30164,43466.35,0,13.79409442,0,0,0,1,1,0,0,1,0,1,0,1,11.13472066,182.467607,1397.701335,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
102,40.67637,-73.84441,23289.77,1,12.40165307,0,0,1,1,1,0,0,1,0,1,1,1,2.542296644,220.161527,808.4305471,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
103,39.00049,-80.20387,49158.49,0,10.24782033,0,0,0,1,0,0,1,0,0,0,1,1,17.22596021,169.937833,1886.531937,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
104,38.76701,-94.25448,3805.84,1,14.86100819,0,1,0,0,1,0,1,1,0,1,0,1,22.79214163,204.963371,2294.781131,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
105,41.07317,-96.83986,52616.27,1,6.716953195,0,0,0,1,1,0,1,1,0,1,0,0,3.823689744,204.963371,826.3438621,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
106,41.26302,-73.94368,30550.42,1,8.124258176,0,0,0,1,1,1,1,0,0,1,1,0,10.77094687,245.128318,2072.564168,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
107,38.61776,-86.61282,12154.01,1,14.60903837,0,0,1,1,1,0,1,0,1,1,0,1,13.08671185,172.473314,1436.793746,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
108,32.29188,-100.21075,30649.31,1,12.65015936,0,1,0,0,1,0,0,0,1,0,1,0,14.76468813,172.456745,1963.332683,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
109,34.79657,-85.67879,31417.33,1,12.0281501,0,0,0,1,1,0,0,1,1,1,0,1,9.473091121,194.976769,1324.164906,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
110,38.85433,-77.47715,55861.19,0,15.68043093,0,0,0,1,0,0,0,0,0,1,0,1,5.197446331,137.439154,704.9375603,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
111,47.74202,-92.78159,9044.26,1,11.30421466,0,1,1,1,1,0,0,1,0,0,1,1,6.577552683,192.470522,888.6517305,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
112,45.52596,-91.71346,25381.66,1,10.26646787,0,1,0,1,0,0,0,0,1,0,1,0,3.174571918,159.951231,377.0810282,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
113,42.35146,-73.02322,65064.31,0,7.56618217,0,0,0,1,0,0,0,0,0,0,0,1,17.88002366,112.455141,1606.489936,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
114,42.43085,-77.84964,12527.51,1,10.40677369,1,0,0,1,0,1,1,0,1,1,0,1,13.12190056,174.961766,1431.409396,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
115,36.95739,-79.86453,35499.06,0,7.146124361,1,0,0,1,0,1,1,0,0,1,0,0,23.34617699,162.452604,2253.85247,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
116,38.01464,-83.76565,26282.4,0,9.807530479,1,1,1,1,1,0,0,1,0,0,0,1,6.311709178,137.483594,1353.29384,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
117,40.80268,-96.95214,51237.28,0,10.61217014,0,0,1,1,1,0,1,1,0,1,1,1,12.58298231,275.133571,1701.457566,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
118,42.37724,-76.94575,64222.21,1,5.785085772,0,1,0,1,0,0,0,0,0,0,1,0,7.120096363,127.442069,1290.737183,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
119,33.7683,-82.2322,11014.98,1,9.062879297,1,0,0,1,0,0,1,0,1,1,1,0,9.344886869,210.138,1403.270091,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
120,34.19544,-118.13796,21172.49,0,16.54443477,1,0,0,1,1,0,1,0,0,0,0,1,22.37815032,147.456419,2603.903672,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
121,42.29251,-91.53608,26130.78,1,4.539566699,0,1,1,1,1,0,1,1,0,1,1,1,4.799514433,242.657291,1256.287854,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
