,Churn,Contract_Month-to-month,Contract_One year,Contract_Two Year,DeviceProtection,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,MonthlyCharge,Multiple,OnlineBackup,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Phone,StreamingMovies,StreamingTV,Techie,Tenure
10,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,149.9447,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,64.37976
11,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,120.0035,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,61.27781
12,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,172.4567,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,70.96989
13,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,220.1615,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12.67943
14,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,172.4705,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,51.57289
15,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,232.6228,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.696846
16,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,287.6427,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41.67396
17,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,277.6375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,52.62668
18,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,164.9647,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,68.90613
19,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,182.497,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.141927
20,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,137.439154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.525864256
21,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,139.9875,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.1725
22,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,194.9699,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.70133
23,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,152.4579,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12.38916
24,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,194.9663,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,58.97505
25,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,177.4876,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,55.74501
26,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,144.9889,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.64085
27,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,195.0062,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.95975
28,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,220.1323,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.25684
29,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,154.975543,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.077999389
30,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,147.4421,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.09994
31,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,207.6094,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,9.688639
32,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,134.9509,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,66.29517
33,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,184.9939,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,60.1745
34,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,182.497044,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.154668093
35,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,200.118516,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,13.23677381
36,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,169.974105,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.072369855
37,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,245.1457,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.151009
38,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,182.49,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.01526
39,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,275.1336,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,66.46538
40,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,159.983,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.91353
41,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,217.484,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,68.6654
42,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,79.97886,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.460792
43,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,114.9728,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,65.08131
44,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,112.4844,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,61.04909
45,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,92.455141,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.41890198
46,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,197.472533,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.251397592
47,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,114.9658,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13.02184
48,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,139.965,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.997315
49,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,172.440432,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.240131023
50,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,159.983,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,67.71773
51,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,192.4404,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.93932
52,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,137.469817,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.992846597
53,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,242.6281,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,62.71718
54,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,232.624,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,38.56823
55,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,107.482,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,66.57985
56,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,79.97886,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.678847
57,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,179.9656,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.99482
58,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,149.9621,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,43.8884
59,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,149.977753,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.96762986
60,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,114.9658,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,57.16208
61,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,152.4624,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,63.3179
62,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,182.4653,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,64.37387
63,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,222.6326,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.426747
64,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,139.965008,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.821119931
65,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,137.461553,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.989151046
66,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,149.9483,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,53.40027
67,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,144.988941,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.452382314
68,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,129.9598,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.138986
69,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,117.4686,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.974284
70,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,197.4945,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.2982
71,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,104.9643,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,56.37649
72,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,124.9781,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.07751
73,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,194.958118,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.934171569
74,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,149.9447,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,66.92587
75,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,265.1283,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,55.02676
76,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,92.48802,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.660409
77,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,139.99789,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.355064781
78,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,137.4684,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.765777
79,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,139.9816,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,9.526371
80,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,159.9805,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,54.21707
81,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,207.609354,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.79028074
82,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,197.470195,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.958063425
83,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,179.965581,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.77689046
84,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,159.9476,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,67.99357
85,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,149.9598,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,70.08722
86,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,225.1457,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,58.89646
87,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,159.9642,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,65.351
88,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,129.959755,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.19437082
89,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,139.9512,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,63.8887
90,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,232.637807,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,15.85002222
91,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,139.9792,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.655119
92,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,127.5112,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.863565
93,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,212.655686,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,23.92132231
94,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,117.4872,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,70.22382
95,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,267.664655,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.923586914
96,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,139.934918,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17.12047934
97,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,187.4811,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,71.25511
98,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,127.4738,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.87922
99,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,159.9476,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,44.57688
100,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,152.457857,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,19.25835701
101,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,200.118516,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.457335487
102,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,127.4586,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,60.23114
103,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,172.4885,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,71.805
104,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,220.161527,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.699998442
105,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,174.9755,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.387102
106,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,162.4713,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.199682
107,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,194.9882,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.96235
108,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,139.9512,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,65.29309
109,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,210.127,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,68.34459
110,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,124.9781,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,71.89152
111,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,162.4538,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,65.07643
112,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,207.4811,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.816759
113,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,127.4887,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.362461
114,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,220.1323,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,63.12959
115,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,92.45514,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.457741
116,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,132.4798,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,64.40902
117,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,179.965581,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.84490034
118,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,204.9496,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.73055
119,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,192.4567,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,19.2087
120,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,159.965008,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.62036784
121,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,160.0013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.04801
122,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,174.9882,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.64344
123,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,232.6415,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.41788
124,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,124.9781,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.65651
125,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,107.5286,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.275948
126,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,207.4754,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,58.33853
127,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,162.447,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.31749
128,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,137.4684,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,71.48941
129,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,184.9963,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.18454
130,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,277.6375,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,63.5434
131,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,172.487091,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.63783701
132,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,117.472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,55.24136
133,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,169.9378,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.21818
134,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,157.4836,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41.74273
135,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,159.9794,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.40421
136,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,127.4738,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,60.76709
137,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,237.6549,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.275832
138,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,232.6228,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,67.82145
139,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,159.9349,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.52249
140,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,114.9509,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,45.92294
141,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,159.9642,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,64.17582
142,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,175.133074,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,10.5903229
143,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,134.9509,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,58.42342
