,Tenure,Bandwidth_GB_Year,Churn,OnlineBackup,DeviceProtection,Area_Rural,Area_Suburban,Area_Urban,Contract_MonthToMonth,Contract_OneYear,Contract_TwoYear
33,20.89923386,2680.762173,1,1,0,1,0,0,1,0,0
34,3.471329958,1081.814362,1,0,1,0,0,1,0,1,0
35,5.478588204,1209.961168,1,1,0,0,1,0,1,0,0
36,3.312991809,897.5919144,1,1,1,0,1,0,1,0,0
37,7.161561527,1340.930156,0,0,1,0,0,1,0,1,0
38,9.847563364,1113.993679,0,1,0,0,1,0,0,0,1
39,16.04202196,1530.10769,0,1,1,0,1,0,0,0,1
40,9.179779682,1310.137419,0,1,1,0,0,1,1,0,0
41,3.002844144,892.8964931,0,0,0,0,1,0,1,0,0
42,3.924254455,1125.581944,1,0,0,0,1,0,0,0,1
43,18.55959629,2016.710031,0,0,0,0,1,0,0,0,1
44,8.798394712,1412.736809,1,0,0,1,0,0,0,0,1
45,10.377366,1710.689671,1,1,1,0,0,1,1,0,0
46,22.25746016,2384.885909,1,1,0,0,1,0,1,0,0
47,9.427146079,1213.940165,1,1,1,0,1,0,1,0,0
48,7.760290062,740.010722,0,0,0,1,0,0,0,0,1
49,11.56938439,897.9716153,0,0,0,0,1,0,1,0,0
50,3.343811019,1026.387172,1,0,1,0,0,1,1,0,0
51,7.338869531,1234.244324,1,0,1,0,0,1,1,0,0
52,5.486534225,727.3731845,0,0,1,0,1,0,1,0,0
53,1.55278221,452.8721504,1,0,0,0,0,1,0,1,0
54,12.07970325,1296.674543,1,0,1,0,0,1,1,0,0
55,13.98666226,1840.628269,0,0,1,0,1,0,0,1,0
56,9.563362997,1324.330108,1,1,0,0,1,0,1,0,0
57,6.732948946,958.1397059,0,0,1,1,0,0,0,0,1
58,15.72071086,1868.864027,1,0,0,0,1,0,0,0,1
59,7.233605493,676.712908,0,0,1,1,0,0,0,0,1
60,2.871017037,1086.990308,0,1,0,0,1,0,0,1,0
61,2.344875382,704.7540406,0,0,1,0,0,1,1,0,0
62,7.960490246,1416.444695,1,1,0,1,0,0,1,0,0
63,12.25062113,1095.950634,0,0,1,1,0,0,1,0,0
64,9.634946079,1083.610268,0,0,1,0,1,0,1,0,0
65,7.916533093,1570.641337,0,1,1,0,0,1,0,0,1
66,4.471254161,1007.425553,1,0,1,0,1,0,1,0,0
67,10.79028074,1323.028419,1,0,0,0,0,1,1,0,0
68,12.24190682,1808.730555,0,0,0,0,0,1,1,0,0
69,2.203859443,1120.241472,1,0,1,0,1,0,1,0,0
70,23.92132231,2676.789803,1,1,0,0,0,1,0,1,0
71,3.7311787,1268.086909,1,1,0,1,0,0,0,1,0
72,7.980015371,822.6771666,0,1,0,0,1,0,0,0,1
73,9.190009376,1577.915603,1,1,1,0,0,1,1,0,0
74,2.378630018,648.7471776,1,1,1,0,0,1,1,0,0
75,5.43464555,1648.102673,1,1,1,1,0,0,0,1,0
76,1.092361222,768.0874545,1,0,1,1,0,0,0,0,1
77,20.13981517,2426.030626,0,1,0,0,0,1,0,0,1
78,24.64873861,2660.503932,1,0,0,1,0,0,1,0,0
79,9.677739656,1129.549713,0,0,1,1,0,0,1,0,0
80,9.82814183,1771.286466,1,0,0,0,0,1,0,1,0
81,7.832238337,943.3391244,0,0,1,1,0,0,1,0,0
82,19.45250317,1907.226083,0,0,0,0,0,1,0,0,1
83,14.34766616,1885.939118,0,0,1,0,0,1,1,0,0
84,2.257358355,631.7435653,0,1,1,0,1,0,0,1,0
85,2.358129018,562.6095219,0,0,0,1,0,0,0,1,0
86,4.650578623,593.8572264,0,1,0,0,1,0,1,0,0
87,3.721772616,777.3060718,1,0,0,0,1,0,1,0,0
88,3.76663012,1393.202392,1,0,0,1,0,0,1,0,0
89,4.151256695,393.6524652,0,1,0,0,0,1,0,1,0
90,2.188918771,409.7486664,1,0,1,1,0,0,1,0,0
91,13.85488928,2138.107161,1,1,1,0,0,1,1,0,0
92,3.273341151,443.984031,0,0,0,0,1,0,0,0,1
93,19.75096265,2481.385603,1,1,1,0,1,0,0,0,1
94,18.38404445,2233.567181,0,0,1,0,1,0,0,0,1
95,4.672610857,1158.91369,1,1,1,0,1,0,1,0,0
96,6.796299371,529.40733,0,0,1,1,0,0,1,0,0
97,12.97632235,1956.7337,1,1,1,0,1,0,1,0,0
98,20.31163945,2056.386979,0,1,1,1,0,0,1,0,0
99,6.998814446,1067.373076,0,0,1,0,1,0,0,1,0
100,14.46288204,1806.135733,1,1,1,0,0,1,1,0,0
101,11.13472066,1397.701335,0,0,1,0,0,1,0,1,0
102,2.542296644,808.4305471,1,0,1,0,0,1,1,0,0
103,17.22596021,1886.531937,0,1,0,1,0,0,0,0,1
104,22.79214163,2294.781131,1,1,1,0,1,0,1,0,0
105,3.823689744,826.3438621,1,1,1,0,0,1,1,0,0
106,10.77094687,2072.564168,1,1,0,0,0,1,1,0,0
107,13.08671185,1436.793746,1,1,0,0,0,1,1,0,0
108,14.76468813,1963.332683,1,0,0,0,1,0,1,0,0
109,9.473091121,1324.164906,1,0,1,0,1,0,1,0,0
110,5.197446331,704.9375603,0,0,0,0,0,1,1,0,0
111,6.577552683,888.6517305,1,0,1,0,0,1,0,0,1
112,3.174571918,377.0810282,1,0,0,1,0,0,1,0,0
113,17.88002366,1606.489936,0,0,0,0,0,1,1,0,0
114,13.12190056,1431.409396,1,1,0,0,0,1,1,0,0
115,23.34617699,2253.85247,0,1,0,0,0,1,1,0,0
116,6.311709178,1353.29384,0,0,1,0,0,1,0,1,0
117,12.58298231,1701.457566,0,1,1,0,0,1,0,0,1
118,7.120096363,1290.737183,1,0,0,1,0,0,1,0,0
119,9.344886869,1403.270091,1,1,0,0,0,1,0,0,1
120,22.37815032,2603.903672,0,1,0,1,0,0,0,0,1
121,4.799514433,1256.287854,1,1,1,0,0,1,0,1,0
122,10.04672315,980.9935923,0,1,0,0,1,0,1,0,0
123,8.156552837,1347.869205,0,0,1,0,0,1,1,0,0
124,7.992791229,1127.267848,0,0,1,0,1,0,0,0,1
125,7.231032028,1269.836202,0,0,0,0,1,0,0,0,1
126,4.627672042,1038.745378,1,0,1,0,0,1,1,0,0
127,10.05306287,1531.155367,0,1,1,0,0,1,0,0,1
128,4.171044392,991.2441024,0,0,1,0,0,1,0,0,1
129,4.568682641,1244.296865,1,0,1,0,0,1,1,0,0
130,6.085030507,1162.332926,1,0,1,1,0,0,1,0,0
131,2.730250735,577.1157824,0,0,0,1,0,0,1,0,0
132,8.574901206,1442.974877,1,1,0,1,0,0,1,0,0
133,9.743201772,1577.208717,1,0,1,0,1,0,1,0,0
134,9.482919033,886.9398744,0,0,0,0,1,0,1,0,0
135,8.447988841,1065.06443,0,1,1,1,0,0,0,0,1
136,6.365998533,951.886985,0,1,0,0,1,0,0,1,0
137,7.251397592,1404.435534,0,1,1,0,0,1,0,1,0
138,14.64011644,1925.911722,1,0,1,0,1,0,0,1,0
139,11.71637124,1805.011298,1,0,1,0,0,1,1,0,0
140,4.13273503,700.7343179,0,0,1,0,0,1,0,0,1
141,2.887429547,513.237305,1,1,0,1,0,0,1,0,0
142,3.303030246,717.3876564,0,1,1,0,1,0,1,0,0
143,5.15825129,1313.492851,0,0,1,0,0,1,0,1,0
144,3.237560234,819.4195269,1,1,0,0,1,0,1,0,0
145,2.733109234,882.1160656,1,1,1,1,0,0,1,0,0
146,3.180102025,724.7803356,1,1,0,1,0,0,0,0,1
147,15.85983755,1829.270014,0,0,0,0,1,0,0,0,1
148,11.73724209,1668.199119,1,1,0,1,0,0,1,0,0
149,7.006240694,1124.353152,1,1,0,0,0,1,1,0,0
150,5.562130367,1316.239744,1,0,0,0,1,0,0,1,0
151,14.53027663,1637.201426,0,0,0,0,0,1,0,1,0
152,5.905906389,951.8524406,0,1,0,0,0,1,1,0,0
153,3.260462654,1248.097652,1,1,0,0,1,0,1,0,0
154,18.91276578,2220.255405,0,1,1,0,0,1,0,1,0
155,14.25617986,1669.202417,0,0,0,0,0,1,0,0,1
156,7.983887266,990.0555076,1,0,0,0,1,0,0,1,0
157,5.969967132,967.9819136,0,1,0,1,0,0,0,0,1
158,19.95277818,2190.259876,1,0,1,1,0,0,0,0,1
159,14.85781115,1445.752781,0,1,1,0,1,0,0,1,0
160,2.600063739,528.6553088,1,0,1,0,0,1,1,0,0
161,11.92299244,1296.481055,1,0,1,0,0,1,1,0,0
162,5.972864167,1195.393037,0,1,0,1,0,0,0,0,1
163,10.87555535,1700.121992,1,0,1,0,1,0,0,0,1
164,16.00330155,2120.673828,1,0,1,1,0,0,0,0,1
165,12.63074989,1238.421347,0,0,0,0,1,0,0,0,1
166,8.4944392,847.110799,0,0,0,0,1,0,1,0,0
167,8.044444101,1112.937102,1,0,0,0,1,0,1,0,0
168,12.07358377,1623.045026,0,0,0,1,0,0,0,0,1
169,10.21634248,1479.730181,1,0,1,0,0,1,0,1,0
170,15.50354683,2144.735024,1,0,1,0,1,0,1,0,0
171,13.88004531,1522.289512,1,0,1,0,1,0,1,0,0
172,19.48900163,1974.780054,0,0,0,0,1,0,0,1,0
173,10.01771765,1261.177198,1,1,0,1,0,0,0,0,1
174,7.34059599,939.7181324,0,1,1,1,0,0,0,1,0
175,12.64742067,1357.062854,1,0,1,0,1,0,1,0,0
176,8.850426839,1456.887443,0,0,0,0,1,0,0,0,1
177,3.701557118,937.5863866,1,0,0,1,0,0,0,1,0
178,2.976033785,830.1193011,0,1,1,0,0,1,0,1,0
179,5.522376826,737.8564608,0,1,1,1,0,0,0,0,1
180,15.64596698,1781.854862,1,0,0,1,0,0,1,0,0
181,23.00764441,2464.577489,1,0,0,0,0,1,1,0,0
182,17.24924155,2392.203409,0,1,1,0,0,1,0,1,0
183,13.01107597,1664.19271,1,0,0,0,1,0,1,0,0
184,5.104082209,1433.616898,1,1,1,0,1,0,0,0,1
185,3.521499924,823.4933243,0,1,0,0,0,1,0,0,1
186,8.08137067,1468.357421,0,0,1,0,1,0,1,0,0
187,1.875430489,590.7765801,1,1,1,1,0,0,1,0,0
188,5.587484456,418.6206885,0,0,0,0,1,0,0,1,0
189,7.007695148,1181.991846,0,0,1,0,0,1,0,0,1
190,1.408375942,733.4036934,0,0,0,0,0,1,0,1,0
191,11.64983735,1719.173387,1,0,1,0,0,1,1,0,0
192,2.964559883,1205.956363,1,1,0,0,1,0,0,0,1
193,10.25635754,1261.032763,0,1,0,0,0,1,1,0,0
194,3.892407013,741.7766988,1,1,0,0,1,0,1,0,0
195,3.226996711,932.6084359,1,0,0,0,1,0,0,0,1
196,15.87685513,1708.614019,0,1,0,0,0,1,0,1,0
197,5.874064017,1363.58603,0,0,1,0,0,1,0,0,1
198,3.756359276,472.1057019,0,0,0,0,1,0,1,0,0
199,2.905283283,558.2340556,0,1,0,1,0,0,1,0,0
200,1.474810061,815.194738,1,0,1,0,1,0,1,0,0
201,18.56165869,2007.303617,1,1,1,1,0,0,1,0,0
202,12.39088509,2088.48083,1,1,0,0,1,0,1,0,0
203,14.17192333,1430.761492,0,1,0,0,1,0,1,0,0
204,3.86023041,822.3008694,0,1,0,0,1,0,0,0,1
205,17.72593456,2059.200998,1,0,0,0,1,0,0,1,0
206,3.043063167,617.542543,0,1,1,0,1,0,1,0,0
207,5.827112819,758.4775985,0,0,0,0,1,0,0,1,0
208,4.648958177,894.6733856,1,0,1,0,1,0,1,0,0
209,11.96274778,1639.898269,0,0,0,0,1,0,1,0,0
210,4.525864256,710.7541633,0,0,0,0,0,1,1,0,0
211,8.038308899,1092.226042,0,1,0,0,1,0,0,0,1
212,1.416592892,757.0097075,0,1,0,1,0,0,0,1,0
213,19.83504645,2301.850721,0,1,1,0,1,0,1,0,0
214,15.85002222,2401.406545,1,0,1,0,0,1,1,0,0
215,15.94935291,1535.788894,0,0,0,1,0,0,1,0,0
216,11.94550648,1536.589816,0,0,0,0,0,1,1,0,0
217,16.03360405,2153.778421,0,0,1,0,1,0,1,0,0
218,21.29342532,2409.195918,0,0,0,0,0,1,0,0,1
219,4.95598008,1342.862457,0,1,1,0,0,1,0,1,0
220,2.73951266,1046.054674,1,0,0,0,1,0,1,0,0
221,4.973046104,1204.479468,1,1,1,1,0,0,0,1,0
222,10.28430068,1616.908193,1,0,1,1,0,0,1,0,0
223,2.581692044,345.0099528,0,1,0,1,0,0,0,0,1
224,6.945736396,1427.088655,1,0,0,1,0,0,1,0,0
225,9.999416271,1452.334634,0,0,0,0,1,0,1,0,0
226,6.035737465,795.4957358,1,0,0,0,0,1,1,0,0
227,9.004964377,1333.894229,0,1,1,0,1,0,1,0,0
228,5.071456681,1402.20491,1,0,1,0,1,0,0,1,0
229,12.02106494,1447.196935,1,1,1,0,0,1,1,0,0
230,5.049303717,1662.510936,1,1,1,0,1,0,1,0,0
231,18.17247008,1707.641161,0,0,0,0,1,0,0,0,1
232,15.31997698,2181.752793,1,0,0,0,0,1,0,0,1
233,16.0708543,1575.683555,0,0,1,1,0,0,1,0,0
234,7.873371451,1029.489242,0,0,0,1,0,0,0,0,1
235,23.62866494,2370.184448,0,1,1,0,0,1,0,0,1
236,25.8634566,3309.919373,1,1,1,0,1,0,1,0,0
237,9.405224809,1623.273925,1,1,1,1,0,0,0,1,0
238,12.84490034,1146.199921,0,1,0,0,1,0,1,0,0
239,16.59325254,2229.268031,1,0,1,0,0,1,1,0,0
240,20.35456039,2512.36494,0,0,0,1,0,0,1,0,0
241,12.00925702,1297.388488,0,1,0,0,1,0,1,0,0
242,2.861423443,283.39178,0,0,0,1,0,0,1,0,0
243,14.20349453,1947.7853,1,0,0,1,0,0,1,0,0
244,4.98152586,849.1972541,1,0,0,0,0,1,1,0,0
245,23.12150846,2131.359827,0,1,1,1,0,0,1,0,0
246,6.307178205,1464.035068,0,0,0,1,0,0,0,0,1
247,12.73622643,1381.538548,0,1,0,0,1,0,0,1,0
248,12.00466914,1248.626874,0,1,0,0,1,0,0,0,1
249,2.243757398,558.3751762,0,0,0,1,0,0,0,1,0
250,1.583394702,676.2178659,0,0,1,0,1,0,0,1,0
251,14.23487852,1641.938696,0,1,1,0,1,0,0,1,0
252,15.28108311,1811.964373,1,1,1,1,0,0,1,0,0
253,4.135827839,1066.632555,1,1,0,0,0,1,1,0,0
254,9.740709475,1514.131966,1,0,1,0,0,1,1,0,0
255,1.213704886,1189.549671,1,0,1,0,1,0,0,0,1
256,11.86252419,1114.020282,0,1,0,1,0,0,1,0,0
257,2.416685985,1078.291303,0,1,1,0,0,1,0,1,0
258,6.73327535,854.2977548,0,1,1,1,0,0,1,0,0
259,6.549035393,1489.077486,1,0,0,1,0,0,0,0,1
260,10.57197066,1649.312808,1,1,1,1,0,0,1,0,0
261,3.379756569,905.1959227,1,1,0,0,0,1,1,0,0
262,8.959047529,684.6318529,0,0,0,1,0,0,0,0,1
263,10.23679934,1662.533055,0,0,1,0,1,0,0,0,1
264,14.96503088,2436.57146,1,1,1,1,0,0,1,0,0
265,23.79323993,2677.74041,1,1,1,1,0,0,0,1,0
266,11.45675389,1779.309609,1,1,1,0,0,1,1,0,0
267,11.04076215,1494.716409,1,0,0,0,0,1,1,0,0
268,7.425503428,1740.72604,1,0,0,0,0,1,1,0,0
269,2.411712843,704.7552669,1,1,1,0,0,1,0,1,0
270,2.009542213,558.4710883,0,0,0,0,1,0,0,1,0
271,9.068119482,1282.279049,1,0,0,1,0,0,1,0,0
272,1.926789854,287.8189836,1,0,0,0,1,0,1,0,0
273,11.77389421,1129.529441,0,1,0,0,1,0,0,0,1
274,2.585228303,394.0148722,0,0,1,0,0,1,0,1,0
275,9.517703088,1302.230824,0,0,0,0,0,1,0,1,0
276,9.532523799,970.4682919,0,0,0,1,0,0,0,0,1
277,23.103996,2522.88913,0,0,1,0,1,0,1,0,0
278,5.104873611,682.9871863,1,1,0,0,1,0,1,0,0
279,6.877942744,1537.109931,1,0,1,0,1,0,1,0,0
280,21.17839683,1961.923965,1,0,0,0,1,0,0,1,0
281,1.586331702,676.1747964,0,0,0,0,1,0,1,0,0
282,3.778174405,929.2607767,1,0,0,0,1,0,1,0,0
283,11.58276897,1849.484087,1,0,0,0,1,0,1,0,0
284,11.62258922,1998.680227,1,1,0,0,0,1,0,1,0
285,20.78013031,1898.877878,0,0,0,1,0,0,0,1,0
286,3.940297464,992.3501481,1,0,0,0,1,0,1,0,0
287,11.38099891,994.6354785,0,0,1,0,1,0,1,0,0
288,1.473304337,954.0290712,1,1,0,0,0,1,0,0,1
289,12.75609778,1775.838153,0,0,0,0,1,0,1,0,0
290,6.253919786,1297.050577,1,1,1,0,0,1,0,0,1
291,18.9537053,1746.405243,0,1,0,1,0,0,0,1,0
292,9.640061615,1698.465833,0,1,0,1,0,0,0,0,1
293,5.201330266,665.4740915,1,0,1,0,0,1,1,0,0
294,12.42120946,1886.153328,1,1,1,1,0,0,1,0,0
295,8.134438503,958.6989908,0,0,1,0,0,1,1,0,0
296,14.86764776,1446.203986,0,0,0,1,0,0,0,0,1
297,5.548652108,774.6125757,0,0,1,0,0,1,0,0,1
298,18.35541838,1939.811149,0,1,1,1,0,0,1,0,0
299,7.62779591,1165.564309,1,0,1,0,0,1,1,0,0
300,4.439685675,750.8768234,0,1,0,0,1,0,0,1,0
301,11.16903388,1292.3206,0,0,1,0,0,1,0,1,0
302,14.14101821,2335.130986,1,1,1,0,1,0,1,0,0
303,3.212400569,769.8534863,1,1,0,0,1,0,0,0,1
304,16.84928353,1729.837284,0,0,1,1,0,0,1,0,0
305,3.834727471,649.3891796,1,0,0,0,1,0,1,0,0
306,6.198230305,823.0046464,0,0,0,1,0,0,0,0,1
307,4.216732972,1107.882056,0,1,1,1,0,0,0,0,1
308,4.355064781,683.8622599,0,0,1,1,0,0,0,1,0
309,4.030250374,1301.49424,0,0,1,0,0,1,0,0,1
310,9.915959247,1079.012505,0,1,1,1,0,0,0,1,0
311,9.821728297,1283.463995,1,1,0,0,1,0,1,0,0
312,9.183905417,987.653655,0,0,1,1,0,0,1,0,0
313,8.892893007,1088.263081,0,0,1,1,0,0,1,0,0
314,7.661226872,583.0259559,0,0,0,1,0,0,1,0,0
315,12.4767812,1778.733282,0,0,1,1,0,0,1,0,0
316,2.462148717,900.4043765,1,0,1,0,0,1,1,0,0
317,14.09942339,1693.576099,1,0,0,0,0,1,0,1,0
318,7.272649386,1143.826239,1,1,0,1,0,0,1,0,0
319,3.999030359,886.340074,0,0,0,0,1,0,0,1,0
320,3.115945151,373.2772664,0,0,0,0,0,1,0,1,0
321,13.67931764,1245.328696,0,1,0,1,0,0,1,0,0
322,14.6728104,1564.936841,1,0,1,0,1,0,1,0,0
323,5.953547112,1354.401018,0,0,1,0,0,1,1,0,0
324,11.74635394,1971.429689,1,0,0,0,0,1,1,0,0
325,5.954024226,623.7865683,0,0,0,0,0,1,0,0,1
326,22.8577804,3040.553763,1,0,0,0,0,1,0,1,0
327,1.407866545,864.7036995,1,0,1,0,0,1,1,0,0
328,21.08265979,2042.113893,0,1,0,0,1,0,0,0,1
329,11.10356439,1973.661316,1,0,1,0,0,1,1,0,0
330,9.734064703,1755.645123,1,0,1,0,0,1,1,0,0
331,12.21754865,1758.735654,1,1,0,0,1,0,1,0,0
332,2.423722078,557.0118807,1,0,0,1,0,0,1,0,0
333,13.66061487,2205.334092,0,0,0,0,1,0,0,1,0
334,8.701581043,1451.201108,0,0,0,0,1,0,0,1,0
335,4.844060027,609.0598401,0,1,1,1,0,0,1,0,0
336,6.485034974,1221.100604,1,0,0,1,0,0,1,0,0
337,1.14113241,745.0493094,1,0,0,0,1,0,0,1,0
338,7.69213424,1220.452161,0,0,1,1,0,0,0,0,1
339,13.73012915,1771.472597,1,1,0,0,0,1,1,0,0
340,5.690013293,1201.484293,1,1,1,1,0,0,1,0,0
341,6.68894661,764.3017535,0,0,1,0,0,1,0,0,1
342,9.475983046,1022.415622,0,1,0,0,0,1,0,1,0
343,4.893221514,1284.442486,1,1,1,1,0,0,1,0,0
344,2.656915117,289.9240291,0,1,0,0,0,1,1,0,0
345,8.381515693,1718.600163,1,0,1,1,0,0,1,0,0
346,14.53315436,2494.633068,0,1,0,0,1,0,0,0,1
347,13.62832619,2270.749222,1,0,1,0,0,1,0,0,1
348,1.281566108,567.6177123,1,0,0,0,0,1,1,0,0
349,3.365552603,380.0501404,1,1,0,0,1,0,1,0,0
350,5.397827503,1436.408211,1,0,1,0,1,0,1,0,0
351,9.001231999,1852.503069,0,1,0,0,0,1,0,0,1
352,10.9750814,1312.008382,0,0,0,1,0,0,0,0,1
353,7.825845378,863.0820861,1,0,1,1,0,0,1,0,0
354,14.12966281,1854.793303,1,1,1,1,0,0,1,0,0
355,14.66914461,1778.431765,0,1,0,0,0,1,0,0,1
356,5.388165017,764.2419259,1,1,0,1,0,0,1,0,0
357,2.810825808,307.018806,0,0,0,0,1,0,0,0,1
358,2.485229169,1179.782483,1,0,0,0,1,0,1,0,0
359,2.051069457,1040.034575,0,0,0,0,1,0,0,0,1
360,6.10108047,1080.159892,0,0,0,0,0,1,0,1,0
361,4.950398978,775.5613336,1,0,0,0,0,1,0,0,1
362,10.16660427,1061.587971,0,0,0,0,1,0,0,0,1
363,12.29558653,1334.403775,1,0,1,0,0,1,1,0,0
364,24.8868126,2346.143947,0,0,0,1,0,0,0,0,1
365,9.660361769,1491.768656,0,1,0,0,0,1,0,1,0
366,7.663625954,927.1279646,1,0,0,0,0,1,1,0,0
367,5.25445262,686.9354616,0,0,1,1,0,0,0,1,0
368,13.59137366,1460.513443,0,0,1,0,0,1,0,0,1
369,12.3492819,1942.250203,1,1,0,0,1,0,1,0,0
370,18.37317391,1923.549943,0,0,1,0,1,0,0,0,1
371,8.498042024,1239.802036,0,1,1,0,0,1,0,1,0
372,22.33583015,2499.186161,0,1,0,0,1,0,0,0,1
373,1.541545443,302.3848209,0,0,0,0,0,1,0,0,1
374,12.78453216,1865.48625,1,0,1,0,1,0,1,0,0
375,2.527681829,908.7910203,1,0,1,0,1,0,0,0,1
376,7.065506244,790.9469893,0,0,1,0,1,0,1,0,0
377,4.258552081,956.2636975,1,0,0,1,0,0,1,0,0
378,4.801969514,639.3261343,0,0,0,0,0,1,1,0,0
379,5.204853319,1572.045646,1,1,0,0,0,1,0,0,1
380,32.0730133,3099.922244,0,1,1,0,0,1,1,0,0
381,11.16847385,1599.727567,1,0,0,1,0,0,0,1,0
382,16.8000196,2188.672399,0,1,1,1,0,0,0,0,1
383,17.6210362,1586.699491,0,1,0,0,1,0,1,0,0
384,17.18829795,1828.279015,1,1,1,1,0,0,1,0,0
385,17.52138221,1866.966586,0,0,0,1,0,0,1,0,0
386,10.4103675,1718.555203,0,0,0,0,1,0,1,0,0
387,3.310281145,556.2193844,1,1,0,0,0,1,1,0,0
388,2.993625911,1035.183038,1,1,1,0,1,0,1,0,0
389,16.26037537,1580.43019,1,1,0,0,1,0,1,0,0
390,3.045064701,703.6927423,1,0,1,0,1,0,1,0,0
391,15.35762157,1842.258692,1,1,0,0,1,0,1,0,0
392,5.940902789,1167.271182,1,0,1,1,0,0,1,0,0
393,5.988505209,1007.289786,1,1,1,0,0,1,1,0,0
394,7.138784756,1500.69101,1,0,1,0,1,0,0,1,0
395,8.951793883,1404.773397,0,0,0,1,0,0,1,0,0
396,4.221959275,1342.310858,1,0,1,0,1,0,1,0,0
397,9.797427154,1250.94478,0,1,1,0,0,1,0,0,1
398,10.90397471,1710.958869,1,1,0,0,0,1,0,1,0
399,1.665591776,169.3992798,0,0,0,0,1,0,1,0,0
400,8.611218573,1261.554565,1,0,0,0,0,1,0,1,0
401,1.28507969,794.9581116,1,0,0,0,1,0,0,0,1
402,1.379696124,713.364269,0,1,1,0,1,0,1,0,0
403,3.084376591,952.5914921,1,1,0,1,0,0,1,0,0
404,2.43754565,778.6094503,0,0,0,1,0,0,0,0,1
405,3.288124191,627.0001275,0,0,1,0,1,0,0,0,1
406,32.30772134,2938.319116,0,0,0,0,0,1,0,0,1
407,13.46565415,1566.001524,0,1,0,0,0,1,0,0,1
408,19.244458,1889.642423,0,1,1,0,1,0,1,0,0
409,8.69085131,1420.771651,0,0,1,1,0,0,0,0,1
410,3.778575882,1254.725693,1,0,1,0,0,1,0,0,1
411,10.27819073,1570.345219,1,1,1,1,0,0,1,0,0
412,4.156887945,500.4406927,0,0,0,1,0,0,0,1,0
413,11.32083915,1563.848623,0,1,0,1,0,0,0,0,1
414,5.254442453,787.0962355,0,1,0,1,0,0,0,0,1
415,5.2551003,1119.610001,0,0,1,1,0,0,0,0,1
416,6.417132666,1155.782468,0,1,0,0,0,1,1,0,0
417,18.61278731,1995.346628,0,0,0,0,0,1,0,0,1
418,4.924623699,922.1362066,0,0,1,1,0,0,0,1,0
419,6.325942162,717.6823944,0,1,0,0,0,1,0,0,1
420,17.22220989,2223.835601,0,1,1,1,0,0,0,1,0
421,3.238699239,1143.685617,0,1,1,0,0,1,0,1,0
422,6.437878909,1537.296207,1,0,1,0,0,1,1,0,0
423,15.22323989,1614.544362,1,1,1,0,0,1,1,0,0
424,7.484425045,758.8338668,0,0,1,0,0,1,0,1,0
425,7.218752772,1317.766231,1,1,0,1,0,0,1,0,0
426,11.69875604,1189.578203,0,1,1,0,1,0,1,0,0
427,10.03363969,1467.273158,0,0,1,0,0,1,1,0,0
428,18.46162568,2192.693797,0,0,1,0,1,0,0,0,1
429,16.52138638,1568.47416,0,0,1,0,1,0,1,0,0
430,13.83290937,1376.095043,0,0,0,0,1,0,1,0,0
431,5.02568958,811.5600648,1,1,1,0,1,0,1,0,0
